chunk_id,doc_id,doc_type,chunk_idx,text,word_count,role
C1_c0,C1,case,0,"Masud Khan v State Of Uttar Pradesh Supreme Court of India 26 September 1973 Writ Petition No. 117 of 1973 The Judgment was delivered by : A. Alagiriswami, J. 1. Petitioner Masud Khan prays for his release on the ground that he, an Indian citizen has been illegally arrested and confined to, jail under Paragraph 5 of the Foreigners (Internment) Order, 1962. He had come to India from Pakistan on the basis of a Pakistani passport dated 137-1954and Indian visa dated 9-4-1956. In his application for visa he had stated that he had migrated to Pakistan in 1948 and was in Government service in Pakistan in P.W.D. as a Darogha and had given his permanent address as Hyderabad (Sind). 2. If these statements were correct the petitioner would clearly be a Pakistani national. When this fact was brought out in the counter affidavit filled on behalf of the respondent, the petitioner filed a further affidavit stating that he was appointed as a Police Constable in Hasanganj Police Station, District Fatehpur, U.P. in February 1947 and continued as a Police Constable till the middle of 1950 when he was dismissed from service, and that he went to Pakistan in the year 1951.In the reply affidavit filed on behalf of the respondent it is stated that one Md. Masood Khan son of Zahoor Khan was enrolled as Police Constable on 16-9-1947 and he was discharged from service on 20-5-1949. It is fairly clear that this information culled from the English Order Book from 1-101947 to 27-12-1951 refers to the petitioner. While, therefore, it is established that the petitioner did not go to Pakistan in 1948, it cannot be said that it has been established that the petitioner went to Pakistan only in 1951.When he went to Pakistan is a matter peculiarly within his knowledge and the produced no evidence in support of that statement. 3. Considering the frequent change of ground which the petitioner has resorted to, a mere statement from him cannot be accepted as true. Nor can we accept his contention that it is for the respondent to establish that lie did not go to Pakistan in 1951 but that he went on some other date. The petitioner has also alleged that he was married in U.P. on 25th December, 1949.Even assuming that this statement is correct; the petitioner cannot establish that he is a citizen of India unless lie succeeds in establishing that he was in India on 26-1-1950. If he bad been in India on 26-1-1950 but had gone to Pakistan in 1951 it would be for the Central Government to decide whether he is a Pakistani national or an Indian citizen even though he may have come to India on a Pakistani passport in 1956. That question does not arise here. 4. We are not prepared to assume that the petitioner should be deemed to have been present in India on 26-1-1950, as was urged on behalf of the petitioner. There is no room for any such presumption. Under s-9 of the Foreigners Act whenever a question arises whether",512,PREAMBLE
C10_c0,C10,case,0,"Prabhakaran Nair, Etc. v State Of Tamil Nadu And Ors. Supreme Court of India 3 September 1987 Writ Petition No. 506 of 1986 The Judgment was delivered by: Sabyasachi Mukharji, J. 1. There is 'much ado about nothing' about these cases. These petitions seek to challenge the vires of s. 14(1)(b) and s. 16(2) as well as incidentally s. 30(ii) of the Tamil Nadu Buildings (Lease and Rent Control) Act, 1960 (hereinafter called 'the Tamil Nadu Rent Act') on the ground of being arbitrary, discriminatory and unreasonable. Different petitions deal with different facts. It is not necessary to set these out exhaustively but it would be appropriate to deal with the facts of Writ Petition No. 506 of 1986 as a typical one in order to appreciate the points in issue. In Writ Petition No. 506 of 1986, the respondent-landlord on or about 21st of March, 1978 after purchasing the premises No.95, Thyagaraja Road, T. Nagar, Madras from the erstwhile owner, filed an eviction petition in the court of Small Causes, Madras for eviction of the petitioner herein from the premises where the petitioner had been carrying on a hotel business serving meals etc. for four decades. The grounds in the eviction petition were non-payment of rent under sec- tion 10(2)(1) of the Tamil Nadu Rent Act, unlawful sub- letting u/s. 10(2)(ii)(a), causing damages to the premises u/s. 10(2)(iii) and also for the purposes of demolition and reconstruction under s. 14(1)(b). 2. The learned Judge of the trial court ordered eviction under s. 14(1)(b) of the Tamil Nadu Rent Act only for demolition and reconstruction and dismissed the other grounds, and that is the only ground with which we are concerned in this appeal. On 25th of February, 1981 the Appellate Court dismissed the petitioner's appeal by saying that the landlords were rich people and capable of demolition and reconstruction in order to put the premises to a more profitable use by putting up their own showroom. On September 30, 1982 the High Court dismissed the civil revision petition of the petitioner and granted time till 31st of January, 1983 for the petitioner to vacate the premises in question. The petitioner thereafter filed a special leave petition against the judgment and order of the High Court in this Court. 3. This Court initially ordered show cause notice and also granted ad interim ex-parte stay of dispossession. On 29th January, 1983 the City Civil Court, Madras granted interim injunction restraining the respondents from demolishing the building till the disposal of the application in the suit filed by the petitioner against the erstwhile owner and the present landlords for specific performance of an agreement to sell the premises to the petitioner. According to the petitioner the injunction was confirmed and was still continuing and the said suit for specific performance was also pending in the City Civil Court, Madras. 4. On 17th of February, 1986 this Court dismissed the special leave petition after notice but directed that the decree for eviction would not be executed till 17.11.86. It was observed by this Court that",512,PREAMBLE
C1007_c1,C1007,case,1,"specified. It appears that these posts were filled up by drawing the personnel from University on deputation. We are more concerned here with para 5 of the scheme which reads as follows: ""5. besides, the nodal Centres shall also be entitled to collect the necessary data through appropriate programming by employing students of senior classes i.e., postgraduate level and Ph.D. level during the vacation periods. The date thus collected can be processed by the nodal centres on a continuing basis round the year. Each nodal centre will be entitled to assistance from senior students amounting to 55 man months in a year. Each student would be paid by the concerned nodal centres at the rate not exceeding Rs.500/- per month. In all each nodal centre would be entitled to incur expenditure not exceeding Rs.27, 500/- per annum for collection of data by employing students of the senior classes."" 6. It appears that the Nodal Centre was sanctioned initially for a period of one year and nine months. However, it is being continued. It is not in dispute that the Nodal Centre is financed entirely by the Ministry of Education which releases the grants from time to time. The allocation of funds for various items of expenditure including staff salaries is specifically mentioned in the order releasing recurring grant. The consolidated pay was enhanced by the Government of India on two occasions, while releasing the grants. As the Postgraduate Engineering students referred to in para 5 of the scheme were not available, respondents 1 to 4 were recruited as Investigators on consolidated pay. 7. Inspired by the Judgment of Andhra Pradesh High Court in a writ petition filed by the employees of the University who were appointed temporarily on consolidated pay and working in the self- supporting schemes of the University, Respondents 1 to 5 herein filed Writ Petition u/art. 226 of the Constitution in the High Court of A.P. seeking a writ or direction to regularize their services and to accord them regular pay-scales. The High Court allowed the writ petition and gave a direction to the University to regularise the services of the writ petitioners if they had completed three years of service and they are qualified and the posts are advertised by the University. 8. The State Government was also directed to take a final decision on the proposal of the University to create additional posts within the specified time limit. Review petition was filed by the University contending that the Division Bench decision on which the learned Single Judge of the High Court relied upon pertains to University employees working on temporary or ad hoc basis whereas the writ petitioners in the present case are entirely governed by the scheme formulated by the Government of India. In the Review Petition, the Learned Judge focused his attention on GO MS No. 212 (Finance & Planning) dated 22.4.1994 issued by the Government of Andhra Pradesh and held that by virtue of the said GO which is applicable to the University employees as well the service of the writ petitioners No. 1",512,PREAMBLE
C101_c42,C101,case,42,"said to have occupied the field so far as these topics are concerned. He then invited our attention to the Bihar Trading Articles (Licenses Unification) Order, 1984. Cls. 2 (c) (g) (h) and (j) as well as Cls. 15 and 18 on which reliance was placed were found not to be of any assistance to him for the simple reason that under that Order dealers of foodgrains like wheat had to be licensed and their activities had to be supervised. This order had also nothing to do with fixation of prices and regulating the purchase and sale of wheat and wheat products. Consequently, the first contention canvassed by Shri Ranjit Kumar cannot be sustained and is accordingly rejected. 67. POINT NO. 2: So far as the alternative contention is concerned, he submitted that even though wheat is an agricultural produce, atta, maida, suzi manufactured out of the same cannot be said to be agricultural produce as it is a produce of the factory and not of an agriculturist. This contention of Shri Ranjit Kumar also cannot be sustained for the simple reason that agricultural produce as defined by S. 2(1), as already noted earlier, would include all agricultural produce whether processed, non-processed or manufactured out of any primary agricultural produce. Wheat is a produce of agriculture, therefore, any product resulting after processing such basic raw material or which results after process of manufacture is carried on qua such basic raw material would remain agricultural produce. Shri Ranjit Kumar fairly stated that he has not challenged the vires of S. 2 (1)(a) but in his submission items 14 to 16 as found in the Schedule to the Act under the caption Cereals are wrongly included as agricultural produce as they are not produce of agriculture. Moment the artificial definition of agricultural produce as aforesaid holds the field, as a logical corollary these three disputed items would squarely get covered by the sweep of the term agricultural produce and hence their inclusion in the schedule enacted under S. 2(1)(a) as types of cereals cannot be found fault with. These were the only contentions canvassed by Shri Ranjit Kumar in support of his appeals. As they fail the inevitable result is that all the civil appeals would be liable to be dismissed. 68. VEGETABLE OILS : Civil Appeal No.1427 of 1979 moved by M/s Rohtas Industries Ltd., which is now under liquidation represented through its liquidator raises similar contention as canvassed by Shri Ranjit Kumar in support of the appeals moved by flour mills. All vegetable oils are treated to be agricultural produce as per serial no.4 of the schedule framed under S. 2(1)(a) of the Market Act. In view of the general sweep of the said definition, oil manufactured by the oil mills functioning within the areas of the Market Committees concerned by crushing oil-seeds which are undisputedly agricultural produce and subjecting them to manufacturing process cannot be said to be outside the sweep of the regulatory provisions of the Market Act. Reliance placed in support of this appeal on the Vegetable Oil Products",512,PREAMBLE
C101_c45,C101,case,45,"market committee to insist that the location of the rice milling industries also should be changed and must be shifted to the market yard. In this connection, our attention was invited to the notice as a specimen notice. In the said notice addressed to Janta Rice & Flour Mills issued by the advocate acting on behalf of the Secretary, Agricultural Produce Market Committee, Chakulia, in the last but one paragraph, the addressee was requested to shift the establishment of business in the main market yard at Dighi of the Agricultural Produce Market Committee, Chakulia within 7 days. It was submitted that this part of the direction is totally without jurisdiction as no market committee can compel the shifting of the business premises of the rice milling industries to any particular market yard as S. 15 of the Act only requires the sale and purchase transactions regarding the agricultural produce to be carried on in the market yard or sub-market yards. To that extent, learned senior counsel for the appellant is right. 71. The statutory mandate of S. 15 does not go beyond the regulation of transactions regarding purchase and sale of agricultural produce and that can be required to be effected only at the relevant principal market yard or sub-market yard or yards. None of the provisions of the Market Act would entitle the market committee to insist on shifting of the business premises of any milling company or factory processing agricultural produce located within the market area to any particular market yard or sub-market yards. Learned senior counsel for the respondents Shri Dwivedi fairly conceded that the aforesaid direction contained in the impugned notice as worded is not correct and can be read down to mean only the shifting of the sale and purchase transactions concerning paddy and rice to the relevant market yard or sub-market yards. These directions are accordingly read down. The said notice when so read down would remain well sustained. In other words, the appellants will not be required to shift the location of the rice mills to principal market yard or sub-market yards if otherwise they are not already so located but are functioning at any place within the market area. However, their sale and purchase transactions of paddy and rice will, of course, be required to be carried on only in market yard or sub-market yards concerned as mandated by S. 15 of the Market Act. Subject to these clarifications and modifications in the directions contained in the impugned notice, these appeals are liable to fail. 72. MILK AND MILK PRODUCTS This takes us to the consideration of Civil Appeal No.1880 of 1988. The appellant in this appeal is an incorporated company with its Registered Office and factory at Bombay. It claims to produce baby food under the trade names LACTODEX and RAPTAKOS S.I.F. (Special infant food). Its products are sold all over the country including Bihar State. It has its Central Office at Patna. Being located outside Bihar it purchases its raw materials from the territories outside Bihar. Out of the raw materials procured",512,PREAMBLE
C101_c49,C101,case,49,"take any licence under that Act. It is not the case of the appellant that any market fee was required to be charged from him by the market committee. The only grievance made was that the appellant was required to take licence under the Market Act. Hence the question of refund of any market fee would not survive for consideration in the present case. This appeal will have to be allowed and the Writ Petition filed by the appellant in the High Court also consequently will have to be allowed by quashing the impugned notice calling upon the appellant to take licences under the Market Act. 76. TEA MATTERS In the appeal filed by M/s. Lipton Tea (India) Ltd., the appellant company has brought in challenge the order of the High Court of judicature at Patna in Writ Petition No.1027 of 1977 which was disposed of along with other cognate matters by a common judgment. The appellant had contended before the High Court that the Market Act cannot apply to the transaction of manufactured blended tea sold in packed tins and packets by it in the State of Bihar, consisting of areas of different market committees. According to the appellant, the object of the Market Act was to provide for better regulation of buying and selling of agricultural produce. It was for the benefit of the agriculturists by providing them a market assuring a reasonable price of their products and also eliminating unhealthy competition and loss due to malpractices prevailing in the market. That the appellant was neither an agriculturist nor did it purchase any article from any agriculturist in the Bihar State. That it purchased tea in auction under the Tea Act held at various notified centres in other States outside the Bihar territory. That the purchased tea was blended at appellant's factories which were also situated outside Bihar. Only after the purchased tea had undergone manufacturing process in appellant's tea factories, after blending and preparation of appropriate final product packed in tins and other receptacles, this marketable commodity ""tea"" consisting of red label, green label tea etc. was being brought for sale within the territories of the State of Bihar. Hence, there was no occasion for the market committees to regulate the sale and purchase of such tea by the appellant manufactured outside the State of Bihar. It was also contended that the Tea Act, which is the Central Act, fully occupied the field of regulation of sale of such tea by the appellant. In view of the special machinery provided under the Tea Act, the general sweep of the Market Act could not be made applicable to the appellant's sale transactions of manufactured tea within the State of Bihar. It was lastly contended that when the appellant was selling its manufactured tea in packed condition in the market area through its stockists, no benefits of infrastructural facilities were required to be furnished by the market committee concerned and, therefore, insistence on the part of the market committee, that the appellant's stockists should sell packed tea only in the market",512,PREAMBLE
C101_c72,C101,case,72,"Maybe, the appellant from commercial point of view may not like to charge higher price for the packed tea from its customers but that does not mean that the infrastructural facilities made available by the market committees to the appellant to get more price of its branded tea if so desired by it can be construed in any way to be adversely affecting its commercial business interests. For obvious reasons, therefore, none of the contentions found in the written submissions can advance the case of the appellant's and they necessarily have to stand repelled. These were the only contentions canvassed by learned senior counsel in support of the appeal and as they fail, the inevitable result is that this appeal fails and will be liable to be dismissed. FINAL ORDER : As a net result of the aforesaid discussion, therefore, the following orders are passed : 1. SUGAR GROUP MATTERS: These appeals, namely, Civil Appeal Nos. 398 and 399/1977, 234/1995, 8163/1994, 7432/1994, 2632-33/1982, 1282/1995 are allowed. The judgments and orders passed by the High Court impugned in these appeals are set aside. The Writ Petition No. 1250/1986 filed by the petitioner will stand allowed accordingly as detailed in this judgment subject to the riders mentioned hereinabove. Civil Appeal Nos.4500-05 of 1992, so far as they seek to challenge the levy of market fee on sugar are concerned, will stand allowed. The respective six petitions filed before the High Court dealing with levy of market fee on sugar will stand allowed. Civil Appeal arising out of S.L.P. (C) No.9684 of 1992 will stand allowed to the extent Civil Writ Petition No.5974 of 1988 filed before the High Court deals with the contention regarding market fee on sugar. Instead of the relief granted by the High Court limiting to the non-levy of market fee on sugar after 2.5.1977, it is directed that levy of market fee on sugar for the entire period covered by the writ petition will be treated to be unauthorised. This judgment will have only prospective operation and will not affect past transactions entered into prior to the date of this judgment. 105. WHEAT PRODUCTS LIKE ATTA, MAIDA, SUZI, ETC. These appeals, namely, Civil Appeal Nos. 2951, 2952 and 2953 of 1992, 3505 & 3506 of 1992 and 829/1993 are dismissed. 3. VEGETABLE OIL MATTERS : Civil Appeal No.1427 of 1979 is dismissed. Civil Appeal Nos.4500-05 of 1992, so far as they deal with levy of market fee on Vanaspati Oil are concerned, will stand dismissed and the High Courts decision in all six writ petitions pertaining to levy of market fee on edible oil shall remain confirmed. Civil Appeal arising out of S.L.P. (C) No.9684 of 1992, so far it challenges the levy of market fee on edible oil is concerned, stands dismissed. The order of the High Court in C.W.J.C. No.5974 of 1984 concerning the vegetable oil is confirmed and the writ petition to that extent will stand dismissed. 4. RICE MILLING INDUSTRY: These Civil Appeals arising out of SLP (C) Nos.3159-60 of 1994 are dismissed. MILK AND MILK",512,PREAMBLE
C101_c73,C101,case,73,"concerned, stands dismissed. The order of the High Court in C.W.J.C. No.5974 of 1984 concerning the vegetable oil is confirmed and the writ petition to that extent will stand dismissed. 4. RICE MILLING INDUSTRY: These Civil Appeals arising out of SLP (C) Nos.3159-60 of 1994 are dismissed. MILK AND MILK PRODUCTS This Civil appeal No.1880 of 1988 is allowed. The judgment and order of the High Court are set aside. However, the past transactions will not be reopened and this judgment will have only prospective effect governing future transactions that are to be entered into after the date of this judgment. 6. TEA MATTER This Civil Appeal No.2532 of 1980 is dismissed. In the facts and circumstances of the case, there will be no order as to costs in all these appeals. Appeal allowed.",134,PREAMBLE
C1012_c0,C1012,case,0,"Margret Almeida & Ors. Etc Etc v The Bombay Catholic Co-Operative Housing Society Ltd. & Ors. Etc. Et Supreme Court of India 30 January 2012 CIVIL APPEAL NOS. 1175-1177 OF 2012 [Arising out of SLP (C) NO.28611-28613 OF 2011] WITH CIVIL APPEAL NO. 1178 OF 2012 [Arising out of SLP(C) No.29507 of 2011] CIVIL APPEAL NOS. 1179-1180 OF 2012 [Arising out of SLP(C) Nos. 30143-30144 of 2011] The Judgment was delivered by : Jasti Chelameswar, J. 1. Leave granted. 2. These appeals arise out of a common order dated 29th August, 2011 of the Division Bench of the Bombay High Court passed in three writ petitions and two suits, 144 and 145 of 2010. 3. By the said common order, it was held, among other things, that the two suits are not maintainable in view of the provisions of Ss. 91 and 163 of the Maharashtra Co-operative Societies Act, 1960 (hereinafter 'the Act', for short). We are not concerned with the remaining part of the Division Bench's judgment as the instant special leave petitions are preferred only against that part of the Division Bench's judgment. The brief factual background of this litigation is as follows. 4. The first respondent is a Society which was originally incorporated in the year 1914. The full particulars of such incorporation are not available at this juncture on record and are also not necessary for the present purpose. It is sufficient to state that it is admitted on all hands that it is a housing cooperative society and the Act governs the affairs of the said Society. 5. It is also an admitted fact on all hands that the said Society has different classes of members known as owners, lessees, allottees, tenants, etc. It is also an admitted fact that the total membership is 762 out of which 69 members fall under the classification of tenant members. However, the exact rights and obligations of these various classes of members, vis-a-vis the first respondent Society or these various classes of members inter se are also not available on record. 6. It appears from the record that, as on today, the first respondent Society owns an extent of approximately 21,774.10 sq. mts. of land in the city of Mumbai alongwith structures popularly known as Wellingdon Catholic Colony. It appears that the said property was part of a larger parcel of land earlier owned by the first respondent Society but is not owned by the Society now. Some of the 'tenant members' (including the appellants herein) of the Society initiated proceedings for the division of the Society sometime in the year 1970 invoking S. 18 of the Act by making an application to the Registrar. The said application has a very long and chequered history, the details of which are not necessary for the present purpose except to state that by virtue of the judgment under appeal, the application is still open and pending. 7. In the meanwhile, in a resolution came to be passed on the 6th December, 2009 by the General Body of the Society to sell the",512,PREAMBLE
C1017_c0,C1017,case,0,"General Manager, North East Frontierrailway v Sachindra Nath Sen Supreme Court of India 22 August 1969 Civil Appeal No. 1839 of 1967. Appeal by special leave from the judgment and decree dated February 16, 1967 of the Assam and Nagaland High Court in Civil Rule 2 of 1965. The Judgment was delivered by : A. N. Grover, J. 1. This is an appeal by special leave from a judgment of the Assam & Nagaland High Court by which a petition under Art, 226 of the Constitution filed by the respondent challenging the termination of his service was allowed. 2. The respondent was serving the railways as an Assistant Traffic Superintendent prior to December 2, 1957. His services were terminated by serving on him one month's notice under Rule 148 contained in the Indian Railways Establishment Code. The respondent filed an appeal to the General Manager but he was informed by means of a letter dated February 3, 1959 that no appeal was competent. In June 1959 he was offered reemployment as a Statistical Inspector in the scale of Rs. 200 to Rs. 300 plus the usual allowances on terms and conditions applicable to temporary employees. It appears that the respondent accepted the offer and was appointed to the post. 3. He was finally informed by means of a letter dated December 31, 1959 that his representation had been considered by the Railway Board relating to the termination of his services as Assistant Traffic Superintendent but the same had been rejected. On December 5, 1963 this Court decided by majority in Moti Ram Deka etc. v. General Manager. N.E.F. Railways etc, [1964] 5 S.C.R. 683 1963 Indlaw SC 215 that Rules 148 (3) and 149(3) of the Indian Railway Establishment Code were invalid. The respondent made a representation thereafter in 1964 to the General Manager to reconsider the case of the termination of his services in the light of the law declared by this Court. 4. The; General Manager sent a reply dated June 3, 1964 saying that the question of the respondents reinstatement could not be considered as it was not covered 'by limits of law, i.e. it does not fail within a period of six years from the date of your termination of service. This was followed by another letter dated December 7, 1964 in which it was stated: ""It has now been clarified by the Railway Board that the claim for reinstatement of the Ex: Employees whose services were terminated in terms of Rule 148/ 149 within a period of six years prior to 5-12-63 (the date of the Supreme Court's judgment), and whose representation is still pending is only to be considered. Since your services were terminated on 2-12-57 which is more than six years counting backwards from 5-12-63, it is regretted that your request for reinstatement cannot be acceded to"". 5. Thereupon the respondent filed a petition under Art. 226 of the Constitution in the. High Court. As stated before the petition was allowed principally on the ground that the railway authorities were not legally justified in making",512,PREAMBLE
