chunk_id,doc_id,doc_type,chunk_idx,text,word_count,role
C1_c3,C1,case,3,"C.L.R. 62) the High Court of Australia said ""The Crown is as much precluded by an estoppels by judgment in criminal proceedings as is a subject in civil proceedings The laws which gives effect to issue estoppels is not concerned with the correctness or incorrectness of the finding which amounts to an estoppels, still less with the process of reasoning by which the finding was reached. in fact It is enough that an issue or issues have been distinctly raised or found. Once that is done, then, so long as the finding stands, if there be any subsequent litigation between the same parties, no allegations legally inconsistent with the finding, may be made by one of them against the other."" Here again it is to be remembered that the principle applies to two criminal proceedings and the proceeding with which we are now concerned is not a criminal proceeding. We therefore hold that there is no substance in this contention.",160,RATIO
C1003_c9,C1003,case,9,"the accused is charged with trespassing into the house of Prakashi Devi, and assaulting and outraging the modesty of the said Prakashi Devi, and the witnesses refer only to the assault and outraging the modesty of Sheela Devi, the court will have to infer that the accused was prejudiced, if the accused had solely concentrated and focused his defence and entire cross-examination to show that he did not commit the offences against Prakashi Devi. 24. The court having charged the accused with the offence of having trespassed into the house of Prakashi Devi with intent to assault her and having further charged him for having assaulted the said Prakashi Devi by outraging her modesty, convicts him on the ground that though he did not assault or outrage the modesty of Prakashi Devi, he had outraged the modesty of Sheela Devi, that would lead to failure of justice. There was a material error in the charge as it violated the requirement of sub-s. (1) of s. 212 of the Code, that the charge shall contain particulars as to the person against whom the offence was committed. 25. There were two women present at the house at the time of the alleged incident, namely Prakashi Devi and her daughter-in-law Sheela Devi. In view of the specific charge, the accused concentrated on showing that the charge was false. He did not attempt to meet the case made out in the trial that the offence was against Sheela Devi. The accused was thus clearly misled by the error in the charge which caused prejudiced to the accused thereby occasioning failure of justice. Therefore, we are of the view that there should be a new trial after charging him with the offence of outraging the modesty of Sheela Devi. 26. The appeal is therefore allowed, the conviction of the accused is set aside and the matter is remitted to the trial court with a direction for a new trial after framing a charge by substituting the words ""her daughter-in-law Sheela Devi"" for the words ""abovenamed Prakashi Devi"", in the second part of the charge. Appeal allowed.",351,RATIO
C1004_c7,C1004,case,7,"seats in medical colleges. We are also satisfied that such allocation results in discrimination and there is no nexus between this territorial distribution and the object to be achieved, namely, admission of the best talent from the two sources already indicated. We are therefore of opinion that allocation of seats on district wise basis is violative of Art. 14. We may add that we do not mean to say that territorial classification is always bad under all circumstances. But there is no doubt that district wise classification which is being justified on a territorial basis in these cases is violative of Art. 14, for no justification worth the name in support of the classification has been made out. We therefore hold that r. 8 providing for district wise allocation is bad, as it violates Art. 14 and we hereby strike it down. 13. In view of our decision as to r. 8 and in view of the fact that there is no question of disturbing the selection made this year, we do not think it necessary to decide finally whether the procedure for selection followed in the present cases to which we have already referred is in accordance with the Rules or not. All that we need say is that it certainly looks odd that the members of the selection committee should sit separately. But we do not propose 'to decide the point finally in the present cases. We do not find any substance in the argument that there is no test provided for marking. Rule 10(d) indicates what matters have to be taken into consideration for allotting marks provided under that rule. We do not think that it is possible to provide any further guidance in the matter and the rest must be left to the Selection Committee. It may be added that we are not prepared to accept that the Committee did not follow the criterion indicated in r. 10(d) in allotting the marks provided in that rule. 14. This leaves the question of mala fide. Only two points are urged in this connection. The first is that the official members of the Selection Committees contrived to get caste representation in the matter of selection at the behest of the Government. There is in our opinion no proof of this and we are not prepared to accept that this was done. The second point in support of mala fides is that mark-sheets were destroyed after the selection was over. It does look odd that mark-sheets were so destroyed and we should have thought that mark-sheets would be kept for some period at any rate after the selection was over. But from this it is not possible to infer that the selection itself was mala fide. Moreover the attack on the selection on the ground of mala fides will affect the current selection only and therefore in view of the stand taken at the bar by the petitioners this ground does not now avail them. The ground that the selection was mala fide must therefore fail. We now come to the",512,RATIO
C1007_c2,C1007,case,2,"Petition, the Learned Judge focused his attention on GO MS No. 212 (Finance & Planning) dated 22.4.1994 issued by the Government of Andhra Pradesh and held that by virtue of the said GO which is applicable to the University employees as well the service of the writ petitioners No. 1 to 3 and 5, who completed more than five years of service on the crucial date mentioned in the GO, was liable to be regularised. As regards the 4th writ petitioner, who did not complete three years of service by 25.11.1993, the learned Judge directed the University to send proposal to the State Government for creation of an additional post and the Government should take a decision within one month from the date of the receipt of proposal. 9. The High Court further observed that after the post is sanctioned, the University shall advertise and fill up the vacancy by appointing petitioner No. 4 if he is otherwise qualified. The Review Petition was disposed of accordingly. It may be stated that the High Court did not accept the contention of the University that the writ petitioners are not employees of the University to whom the benefit of GO MS No. 212 could be extended. Against the order of the learned Single Judge in the Review Petition, the University filed Writ Appeal which was dismissed by the Division Bench on 3.4.1997 affirming the order of the learned Single Judge. The Division Bench observed that ""all employments in the institute, whether grant for the post comes from the State Government or from the Central Government, are employments in the institute which is an agency of the Government of the State of Andhra Pradesh and thus all Government orders intended to apply to such agency of the Government of the State have to be applied to it."" 10. On appeal by the University, this Court stayed the operation of the judgment of the High Court. We are of the view that the High Court fell into error in applying GO No. 212 dated 22.4.1994 to the case of the writ petitioners. The observations of the Division Bench that the Nodal Centre is an agency of the State Government, is obviously without factual and legal basis. The terms and features of the scheme unmistakably indicates that the University a Centre of excellence chosen by the Ministry of Education, acts for and on behalf of Government of India and the Nodal Centre is nothing but the reflection of Central Government acting through the media of University. The entire funding is done by the Central Government and the Nodal Centre functions under the overall supervision and guidance of the Lead Centre attached to the Ministry of Education. Even the details of expenditure including the payments to be made to the staff of various categories are spelt out in the scheme as well as in the orders releasing the annual grants. There is, therefore, an obvious fallacy in the reasoning of the High Court that the 'institute' (Nodal Centre) acts as an agency of the State Government. The State",512,RATIO
C1012_c10,C1012,case,10,"the question whether the Co-operative Court would have jurisdiction to adjudicate the dispute, this Court answered the question in the negative. 33. Accepting the submission of Shri Sundaram would lead to a situation that while on one hand it is the settled position of law that the Act does not permit a person other than the one enumerated under S. 91 to seek adjudication of his dispute with 'enumerated persons' in a Co-operative Court, such a Court would be authorised by virtue of S. 94(3)(a) to adjudicate a dispute between an enumerated person and a non-member 3rd party, if raised by an enumerated person. On the other hand, from the language of the said sub-section, it appears that the only circumstance which enables the Co-operative Court to exercise its jurisdiction against such a 3rd party is that while adjudicating a dispute which is otherwise amenable to its jurisdiction, the Co- operative Court reaches the conclusion that a 3rd party acquired some interest in the property of one of the parties to the dispute. Necessarily the following two questions must be examined to understand the exact scope of the said sub-section. (1) Whether the property referred to in the sub-section is any property of one of the parties to the dispute or should such property bear any relationship to the dispute? (2) Whether the acquisition of the interest referred to should be anterior to the reference of the dispute to the Co- operative Court or on acquisition made during the pendency of the litigation? 34. The answer to the first question to our mind is plain. The property in which the 3rd party acquired interest must bear some relationship with the dispute pending before the tribunal. To hold otherwise would be to enable the Co-operative Court to examine questions unconnected with the dispute pending before it and wholly unconnected with the affairs of the Society. An illogical result to be normally avoided unless compelled by the express language of the Act. 35. Coming to the second question, learned counsel for the appellant argued that the intention of the Legislature is to be gathered from the language of the sub-s. (3)(a) and the employment of the present perfect tense (has acquired any interest) must only lead to a conclusion that the Legislature intended the Co-operative Court to deal with only the cases of acquisition of interest in the property during the pendency of the litigation before it. On the other hand, Shri Sundaram argued that there is no warrant for such an inference in the language of sub- s. (3)(a). 36. We are of the opinion that having regard to the language of Section 94, sub-s. (3)(a), more specifically ""has acquired any interest"", the acquisition of the interest contemplated is only an acquisition made during the pendency of the dispute before the Co- operative Court. For the reason that such an acquisition of interest is qualified by the words, ""in the property of a person who is a party to the dispute"", we hold so for another reason also. 37. To hold otherwise, would",512,RATIO
C1012_c12,C1012,case,12,"for the plaintiffs, appellants herein, to challenge only the general body resolution. We also presume that the conclusion arrived at by the High Court that if the general body resolution is set aside, the same will impair the validity of the conveyance even without an appropriate declaration by a competent judicial body. (We emphasise that we only presume so without examining to the said conclusion for the limited purpose) If the resolution dated 6th December, 2009 alone is challenged before the Co-operative Court, in view of our conclusion recorded earlier, the respondents 22 and 23 (the beneficiaries of the resolution) could not be made parties before the Co-operative Court. In such a situation, even if the Co-operative Court came to the conclusion that the resolution is illegal, it would always be open for the respondents 22 and 23 to ignore such a determination as they are not parties to the proceedings and assert their title on the basis of the conveyance dated 7th December, 2009. If any party such as the plaintiffs (the appellants herein) disputes the validity of the title conveyed thereunder, necessarily such a dispute would have to be adjudicated by a competent Court u/s. 9 of the Code of Civil Procedure wherein, necessarily, the question whether a valid title was conveyed in favour of respondents 22 and 23 by the society would arise for determination. The legality of the resolution would still have to be gone into again. Therefore, in our opinion, the premise in which the High Court commenced its enquiry itself is wrong. 39. For all the above-mentioned reasons, we are of the opinion that the conclusion of the High Court that the suits in question are not maintainable on the ground that the dispute is amenable to the exclusive jurisdiction under S. 91 of the Act to the Co- operative Court cannot be sustained and the same is required to be set aside. 40. That takes us to the next question raised in these appeals - whether the High Court was right in going into the maintainability of the suits in question. Shri Venugopal, learned senior counsel appearing for some of the respondents submitted that in view of the provisions contained in Section 9A of the Code, which was introduced by local amendment of the Maharashtra Legislature to the Code by Maharashtra Act No.65 of 1977, the course of action followed by the High Court is not only justified but also the Court is obliged to follow such a course of action. Section 9A reads as follows: ""9A. Whereof the hearing of application relating to interim relief in a suit, objection to jurisdiction is taken, such issue to be decided by the Court as a preliminary issue.- (1) Notwithstanding anything contained in this Code or any other law for the time beiong in force, if, at the hearing of any application for granting or setting aside an order granting any interim relief, whether by way of stay, injunction, appointment of a receiver or otherwise, made in any suit, an objection to the jurisdiction of the Court",512,RATIO
C1012_c13,C1012,case,13,"other law for the time beiong in force, if, at the hearing of any application for granting or setting aside an order granting any interim relief, whether by way of stay, injunction, appointment of a receiver or otherwise, made in any suit, an objection to the jurisdiction of the Court to entertain such a suit is taken by any of the parties to the suit, the Court shall proceed to determine at the hearing of such application the issue as to the jurisdiction as a preliminary issue before granting or setting aside the order granting the interim relief. Any such application shall be heard and disposed of by the Court as expeditiously as possible and shall not in any case be adjourned to the hearing of the suit. (2) Notwithstanding anything contained ion sub-section (1), at the hearing of any such application, the Court may grant such interim relief as it may consider necessary, pending determination by it of the preliminary issue as to the jurisdiction."" The language of Section 9A is self-explanatory. We accept the submission made by Shri Venugopal in toto. 41. Coming to the question of the interim order in view of our conclusion that the suits in question are maintainable and having regard to the fact that the suits are to be tried by the High Court in exercise of its original jurisdiction, we do not propose to pass any interim order and leave it open to the High Court to consider the applications filed by the plaintiffs for interim orders in accordance with law and pass appropriate orders. The principles governing the grant of interim orders are too well settled and we need not expound the same once again. However, we would like to indicate that on the question of the existence of a prima facie case in favour of the plaintiffs, the following factors are germane and require to be examined. Having regard to the content of the plaint, we are of the opinion that the nature of the legal right, the plaintiffs claim for seeking the relief such as the one sought in the suits necessarily depends upon the byelaws of the Society, the rights and obligations of the various classes of its members with respect to the property in dispute. The High Court may examine the above aspects before passing an appropriate interim order. 42. In view of the above, we also deem it proper to direct all the parties to maintain status quo as on today for a period of two weeks to enable the Bombay High Court to examine the applications of the plaintiffs for interim orders and pass appropriate orders in accordance with law. 43. The appeals are, accordingly, disposed of. Appeals disposed of",455,RATIO
C1020_c1,C1020,case,1,"a prayer for injunction was made for restraining the Appellants herein from interfering with the proposal of any representative of any member of the North Zone for the post of President on the basis of residential qualification. 5. By an interim order dated 28.9.2004, a learned Single Judge of the said High Court appointed Shri S. Mohan, a former Judge of this Court as a Commissioner to conduct elections and to take necessary decision with regard to qualification, nomination and conduct of elections. The third respondent was further prohibited from disqualifying any member of BCCI and prevent them from voting. 6. The Board aggrieved by and dissatisfied with the said order dated 28.9.2004 preferred a Letters Patent Appeal before the Division Bench of the Madras High Court. Before the said Division Bench, an undertaking was given by the learned Senior Counsel on behalf of the Board that the Board would not disqualify any candidate for the post of President on the ground of residence. Pursuant to or in furtherance of the said undertaking a statement was made by the learned counsel appearing on behalf of 'Netaji' that the apprehension of the plaintiff/ first respondent which formed the basis for moving the Court by filing a suit for the relief as stated above is vanished in air. With the consent of the parties, the suit itself was withdrawn and both the appeal and the suit were disposed of in the following terms: ""(i) We are of the view that the impugned order need not be in existence and hence, the same is set aside; (ii) the elections scheduled on 29.9.2004 at 10.30 a.m. shall be continued by the first defendant/ appellant Body strictly in accordance with the provisions of their Constitution and the rules or bye-laws framed thereunder; (iii) the counsel on record for the first defendant/ appellant herein made an endorsement to the effect that ""the appellant shall not disqualify any candidate for the post of President on the ground of residence"". The said undertaking has been given by the learned Senior Counsel, Mr. T.R. Rajagopal across the bar and the same is recorded and we direct that the undertaking should be given effect to in letter and spirit without any deviation; (iv) the first defendant/ appellant herein is hereby directed to receive Hon'ble Mr. Justice M. Mohan, who was appointed as Commissioner under the order on appeal and offer due respect and all comforts during his stay at Kolkata without giving any room for the learned Judge to feel embarrassed and the learned Judge should be treated with high dignity. The first defendant/ appellant herein shall pay a further sum of Rs. 1,00,000/- (Rupees one lakh only) as final remuneration to Hon'ble Mr. Justice S. Mohan, apart from other incidental expenses; and (v) in default of conditions (ii) and (iii), referred to above, if any party who is a member of the first defendant/ appellant Board is aggrieved, he is at liberty to workout his relief in appropriate proceedings before the competent court."" 7. It appears that another suit was filed",512,RATIO
C1020_c18,C1020,case,18,"a position to entertain the dispute as regard validity of the meeting of 29th September, 2004 resulting in the election of the office bearers. Giving an opportunity of hearing to the elected members in a dispute of this nature is imperative and not a matter of mere procedure, formality or technicality. The election dispute, therefore, must be adjudicated upon by a proper forum. 84. The events leading to these appeals, as narrated hereinbefore, raise a abysmal picture and a sordid state of affairs. 85. In the suit filed by Netaji, two interim applications were filed being OA No. 803 and OA No. 804 of 2004. Indisputably, in OA No. 803 of 2004, the Court granted an order of injunction restraining the Board from disqualifying any members of the Board and preventing them from voting. Although in the Memo of Appeal filed by the Board before the Division Bench of the Madras High Court against the said order, the orders passed both in OA Nos. 803 and 804 of 2004 were sought to be questioned, no ground in relation thereto appears to have been raised in the Memo of Appeal in relation to the said order of injunction and no argument appears to have been advanced before the Division Bench in that behalf. The Division Bench of the High Court while passing the order on 29th September, 2004 noticed the order of the learned Single Judge dated 28th September, 2004 but its attention probably was not drawn to relevant paragraph thereof. 86. Even the attention of the Division Bench to the said effect does not appear to have been drawn by the learned counsel appearing on behalf of the Plaintiff Respondent No. 1 herein. Had the intention of the Division Bench specifically been drawn to the said order of injunction, we are sure that the learned Judges would have dealt with it specifically. However, in law the said order of injunction did not subsist as the suit itself was withdrawn with the consent of the parties and both the appeal and the suit were disposed of by the order dated 29.9.2004. However, whether the suit itself could have been withdrawn and disposed of by the Division Bench in purported exercise of its power under Sub-s. (2) of S. 107 of the Code as well as on the basis of the determination of the learned judges is open to question. We are also not aware as to whether the original side Rules of the Madras High Court contemplate such a situation. 87. Indisputably, an undertaking had been given by a learned Senior Counsel appearing on behalf of the Board. In the impugned order, the Division Bench before whom such undertaking had been given was of the opinion that it was misled. This Court having regard to the understanding of such undertaking by the Division Bench does not intend to deal with the effect and purport thereof and as we are of the opinion that the Division Bench of the Madras High Court itself is competent therefor. If the order of the learned Single Judge",512,RATIO
C1020_c19,C1020,case,19,"regard to the understanding of such undertaking by the Division Bench does not intend to deal with the effect and purport thereof and as we are of the opinion that the Division Bench of the Madras High Court itself is competent therefor. If the order of the learned Single Judge is to be taken into consideration, it is possible to contend that the learned Judges of the High Court were correct. 88. We are, furthermore, of the opinion that the jurisdiction of the High Court in entertaining a review application cannot be said to be ex facie bad in law. S. 114 of the Code empowers a court to review its order if the conditions precedents laid down therein are satisfied. The substantive provision of law does not prescribe any limitation on the power of the court except those which are expressly provided in S. 114 of the Code in terms whereof it is empowered to make such order as it thinks fit. 89. Order 47, Rule 1 of the Code provides for filing an application for review. Such an application for review would be maintainable not only upon discovery of a new and important piece of evidence or when there exists an error apparent on the face of the record but also if the same is necessitated on account of some mistake or for any other sufficient reason. Thus, a mistake on the part of the court which would include a mistake in the nature of the undertaking may also call for a review of the order. An application for review would also be maintainable if there exists sufficient reason therefor. What would constitute sufficient reason would depend on the facts and circumstances of the case. The words 'sufficient reason' in Order 47, Rule 1 of the Code is wide enough to include a misconception of fact or law by a court or even an Advocate. An application for review may be necessitated by way of invoking the doctrine ""actus curiae neminem gravabit"". 90. It is true that in Moran Mar Basselios Catholicos and Another Vs. The Most Rev. Mar Poulose Athanasius and Others [(1955) 1 SCR 520 1954 Indlaw SC 131], this Court made observations as regard limitations in the application of review of its order stating : ""Before going into the merits of the case it is as well to bear in mind the scope of the application for review which has given rise to the present appeal. It is needless to emphasise that the scope of an application for review is much more restricted than that of an appeal. Under the provisions in the Travancore Code of Civil Procedure which is similar in terms to Order XLVII, rule 1 of our Code of Civil Procedure, 1908, the Court of review has only a limited jurisdiction circumscribed by the definitive limits fixed by the language used therein. It may allow a review on three specified grounds, namely (i) discovery of new and important matter or evidence which, after the exercise of due diligence, was not within the applicant's knowledge",512,RATIO
