chunk_id,doc_id,doc_type,chunk_idx,text,word_count,role
C1006_c17,C1006,case,17,"Ors 1977 Indlaw AP 144., It was held that the expression 'steps in the proceedings' in s. 34 also comprehends step in interlocutory proceedings also. In reaching this conclusion reliance was placed on the decis ions of the Madras High Court. A review of these precedents would unmistakably indicate that the trend of the authorities points in the direction of not treating every application made in the suit as a step in the proceeding nor entering appearance with a view to contesting the petition for interim relief such as injunction or appointment of receiver as being steps in the proceedings. Therefore, with respect, the decisions taking the contrary view do not commend to us. It is at this stage that we must refer to the decision in Janki Sarcn's case in some detail. In that case Janki Saran Kailashchandra filed a suit against State of U.P. and Divisional Forest Officer, Bijnor for recovery of damages alleging breach of contract. The summons in the suit issued to the State of U.P. was served on the District Government Counsel. On 2 September 1966, the District Government Counsel filed an appearance slip in the Court and also put in a formal application praying for one month's time for the purpose of filing written statement. On 1 October 1966 the District Government Counsel filed an application under s. 34 of the Act pleading that there was an arbitration clause in the contract between parties to the suit and the State of U.P. being willing to refer the matter to arbitration the suit should be stayed. The trial court granted the motion for stay of suit. On appeal the High Court held that the Action of the District Government Counsel in applying for time to file the written statement amounted to taking a step in the proceedings within the meaning of s 34 of the Act, and set aside the order of the trial court and rejected the request for stay of proceedings. State of U.P. approached this Court against the order of the High Court. Rejecting the appeal this Court observed as under: 26. ""To enable a defendant to obtain an order staying the suit, apart from other conditions mentioned in s. 34 of the Arbitration Act, he is required to present his application praying for stay before filing his written statement or taking any other step in the suit proceedings. In the present case the written statement was indisputably not filed before the application for stay was presented. The question is whether any other step was taken in the proceeding as contemplated by s. 34, and it is this point with which we are directly concerned in the present case. Taking other steps in the suit proceedings connotes the idea of doing something in aid of the progress of the suit or submitting to the jurisdiction of the Court for the purpose of adjudication of the merits of the controversy in the suit""' The view herein taken not only does not run counter to the view we have taken but in fact clearly supports the",512,RLC
C1026_c1,C1026,case,1,"by any opinion of any officer or agency which may be available on record and shall completely ignore the pleadings of the parties. He will examine the documents and evidence of the witnesses available on record and form his independent opinion in the matter. If necessary, under the authority of this Court, he may requisition any other documents and material connected with the case, in original or in the form of its carbon copy, from any other source or authority and upon his requisition, the same shall be made available to him by all concerned, default of which shall be treated as contempt of this Court."" In the last paragraph of its order, the High Court held:- ""Till 21st June, 2010, the Court concerned shall not take any further steps in the proceeding arising out of Arrah Rail GRP Case No. 73 of 2007."" 2. The concerned criminal case was initiated by a First Information Report registered on 6.12.2007. It is an admitted position that the investigation had been completed and the police was going to submit the charge sheet dated 18.6.2009, but before that, the mother of the respondent No. 1/accused filed Crl. WJC No. 394 of 2009 before the High Court. In this petition, the prayer was for re-investigation of the matter by another agency. Eventually, the mother of the respondent No. 1/accused died and the respondent No. 1/accused was substituted for her, and it is only on that basis that the order has been passed. 3. The First Information Report refers to the incident which took place on 30.11.2007, according to which at 10 p.m. on that day, the accused went to the house of the deceased Sonu, the daughter of the appellant/complainant and left with the deceased on his motorcycle in presence of the witnesses. Since the deceased did not return home, the family members started searching for both. It has come on record that subsequently at about 12.30 a.m., the deceased Sonu had talked to her mother's sister Dr. Anita and informed her that she was with the accused and would come back after getting married with him. On the very next day i.e. on 1.12.2007, at 7.15 a.m., the family members of the deceased were informed by the Railway Police that the dead body of the girl is lying on the side of the Railway track at Karisath Railway Station and her Mobile set bearing No. 9304915589 was also lying there. The complainant's brother Dr. Sanjeev reached the Railway Station and identified the body of the deceased. The deceased had injuries on her head and a portion of her leg was cut. Inquest Panchnama was executed by the Railway Police and the dead body was sent for postmortem. At this time, the complainant/father of the deceased was out of station. After he returned home, he was informed about the deceased having been taken by the respondent No. 1/accused at night on 30.11.2007. On 6.12.2007, a written complaint was filed. It was disclosed in the said complaint that the deceased was in love with Rajesh Bhardwaj, and",512,RLC
C1036_c2,C1036,case,2,"go into the circumstances in which the plea of guilty was entered by the appellant and relying on the plea of guilty proceeded on the basis that the appellant was rightly convicted and since the offence said to be established against the appellant, was with respect to an article of 'primary food' punishable under s. 16(1)(a) (i) of the Prevention of Food Adulteration Act, 1954, the High Court held that the appellant was liable to be sentenced to imprisonment for a minimum term of 3 months and a fine of not less than Rs. 500. The High Court accordingly enhanced the sentenced imposed on the appellant to 3 months' simple imprisonment and a fine of Rs. 500 or in default, further simple imprisonment for 30 days. This order made by the High Court is challenged in the present appeal preferred by the appellant after obtaining special leave of this Court. 6. Now, it does not appear from the record whether the entire prosecution evidence was completed before the learned Magistrate before the plea of guilty was entered on behalf of the appellant, but one thing is clear that the finding conviction recorded by the learned Magistrate against the appellant was not based on the evidence led on behalf of the prosecution. The conviction of the appellant based solely on the plea of guilty entered by him and this confession of guilt was the result of plea of bargaining between the prosecution, the defence and the learned Magistrate. It is obvious that such conviction based on the plea of guilty entered by the appellant as a result of plea bargaining cannot be sustained. It is to our mind contrary to public policy to allow a conviction to be recorded against an accused by inducing him to confess to a plea of guilty on an allurement being held out to him that if he enters a plea of guilty, he will be let off very lightly. 7. Such a procedure would be clearly unreasonable, unfair and unjust and would be violative of the new activist dimension of Art. 21 of the Constitution unfolded in Maneka Gandhi's case. It would have the effect of polluting the pure fount of justice, because it might induce an innocent accused to plead guilty to suffer a light and inconsequential punishment rather than go through a long and ardous criminal trial which, having regard to our combers and unsatisfactory system of administration of justice, is not only long drawn out and ruinous in terms of time and money, but also uncertain and unpredictable in its result and the judge also might be likely to be defected from the path of duty to do justice and he might either convict an innocent accused by accepting the plea of guilty or let off a guilty accused with a light sentence, thus, subverting the process of law and frustrating the social objective and purpose of the anti adulteration statute. 8. This practice would also tend to encourage corruption and collusion and as a direct consequence, contribute to the lowering of the standard",512,RLC
C105_c5,C105,case,5,"my behalf."" It is further stated that ""the role of Sri S. Ramachander Rao as a senior Advocate looks very dubious in this context. This is apart from misusing the documents given by me to him in good faith for filing my own petition. This is a clear case of breach of client's confidentiality and interest."" It is now clear that it is the 8th respondent who made available the entire material filed into Court as material papers in these writ petitions. Obviously, the writ petition is drafted on the basis of the material supplied by the 8th respondent. It would be totally altogether a different matter as to whether the affidavit is signed by the petitioner or by somebody else at the instance of Respondent No.8. But the feet remains that material has been admittedly made available by the 8th respondent, undoubtedly he is the king pin in the whole drama and operating from behind the scene."" 13. Before the High Court Shri E. Seshagiri Rao, advocate who had filed the writ petition affirmed an affidavit wherefrom it transpired that the writ petition had been filed from the Office of Shri S. Ramchander Rao, a senior advocate purported to be on the instructions of one Shri B. P. Agarwal, the appellant herein and some other persons. 14. The High Court noticed gross abuse of the process of the Court in the manner of filing the aforementioned two writ petitions said to be in the nature of public interest litigations. The High Court also went into the merit of the matter and arrived at a finding that the writ petitions were filed at the instance of the appellant herein. The High Court while finding the said writ petitions to be without any merit opined that no relief can be granted to the writ petitioner. The High Court also expressed its unhappiness over the role of the lawyers. The High Court although noticed that the writ petitioner in writ petition No. 5717 of 1997 appeared in person and wanted to withdraw the writ petition but did not absolve him of his responsibility in the matter in filing the writ petition at the instance of the appellant herein. However, it took a lenient view and dismissed the writ petition without awarding any cost against him. The High Court, however, administered severe warning to him to be careful in future and not to play any game with judicial process. 15. So far as writ petition No. 6240 of 1997 is concerned, the High Court held: ""So far as WP No.6240 of 1997 is concerned, we have already observed that the petitioner, as well as the 8th respondent are guilty of abuse of the judicial process in the name of public interest litigation. They have put the device of public interest litigation to naked abuse. The weapon invented by the Apex Court with a noble cause intended to serve the deprived sections of the Society pressed into operation for destructive purpose. The streams of justice are polluted by their conduct. We, under those circumstances, consider it",512,RLC
C1075_c0,C1075,case,0,"State of Madhya Pradesh v Ramashankar Raghuvanshi and Another Supreme Court of India 21 February 1983 Petition for Special Leave to Appeal (Civil) No. 4679 of 1980 The Judgment was delivered by : Syed Murtaza Fazalali, J. 1. Since we are clearly of the view that the special leave petition should be dismissed in 1975 on merits, I would not like to go any further into the details of the facts of the case. r would, therefore, refrain from expressing any opinion on the observations made by my learned brother Chinnappa Reddy, J. 2. CHINNAPPA REDDY, J. This special leave petition has to be dismissed. There is no merit in it. The respondent was a teacher employed in a municipal school. The school was taken over by the Government in June 1971. The respondent was absorbed in Government service by an order dated February 28, 1972. The order recited that the absorption was subject to 'verification of antecedents' and medical fitness The services of the respondent were terminated on November S, 1974. Though the order terminating the services of the respondent did not purport to stigmatise him in any manner, it was not disputed before the High Court and it is no longer disputed before us that the order was founded on a report made by the Superintendent of Police, Raigarh on October 31, 1974, to the effect that the respondent was not a fit person to be entertained in Government service, as he had taken part in 'RSS and Jan Sangh activities'. The High Court held that the order of termination of service was of a punitive character and quashed it on the ground that the provisions of Art. 311 of the Constitution had not been complied with. The State of Madhya Pradesh has sought leave to appeal to this court under Art. 136 of the Constitution. 3. India is not a police state. India Is a democratic republic. More than 30 years ago, on January 26, 1950, the people of India resolved to constitute India into a democratic republic and to secure to all its citizens ""Liberty of thought, expression, belief, faith and worship; Equality of status and opportunity"", and to promote ""Fraternity, assuring the dignity of the individual"". This determination of the people, let us hope, is not a forgotten chapter of history. The determination has been written into the articles of the Constitution in the shape of Fundamental Rights and they are what makes India a democratic republic and what marks India from authoritarian or police States. The right to freedom of speech and expression, the right to form associations and unions, the right to assemble peaceably and without arms. the right to equality before the law and the equal protection of the right laws, the right to equality of opportunity in matters relating to employment or appointment to any office under the State are declared Fundamental Rights. 4. Yet the Government of Madhya Pradesh seeks to deny employment to the respondent on the ground that the report of a Police officer stated that he once belonged to",512,RLC
C1079_c1,C1079,case,1,"these two respondents and was satisfied about their guilt and the reasoning of the High Court for interfering against this conviction is wholly unsound. To appreciate this argument it may not be necessary for us to refer to the evidence of all these four witnesses. We shall examine the findings of the trial court as well as the appellate court for the purpose of appreciating the submissions made. The trial court held that the prosecution case about the illicit intimacy between Amar Singh and Km Sarla should be believed. PWs 2 and 4 Smt. Rama Devi and Kamla Devi deposed that about 25 persons entered the house of Kallaktar. According to PWs 2 and 4, Mulaim Singh was not known to them and they were made to identify Mulaim Singh in the identification parade. The accused Mulaim Singh took the plea that he was very well known to PWs 2 and 4 and his village is only two miles away from the village of Kallaktar and that his brother Amar Singh was living in the house of Kallaktar and he used to visit. The learned Sessions Judge was not prepared to accept this plea of the accused. 8. The other circumstance relied upon by the prosecution are that he had a motive to attack the house of Kallaktar and kill the members of his family. It can thus be seen that the culpability of Mulaim Singh, respondent 2, mainly rested on the evidence of PWs 2 and 4. The learned Sessions Judge very much relied on the fact of these two witnesses identifying Mulaim Singh and taking into consideration the other two circumstances namely the recovery and motive, he convicted him. Now coming to the case of Ram Swaroop, respondent 3, the prosecution mainly relied on the evidence of PWs 12 and 13 who have identified him in the identification parade and the other circumstances relied upon by the prosecution is that Ram Swaroop who was a police constable was absent from duty between October 31, 1972 and November 2, 1972 and made a false declaration and one other circumstance is the recovery of gun. It is alleged that the three of the empty cartridges that were found at the scene were fired from his gun. It may be mentioned that these two circumstances without the evidence of PWs 12 and 13 would be insufficient. The trial Judge, however, accepted the evidence of PWs 12 and 13 and the other two circumstances and convicted him 9. Now we shall examine the findings of the High Court in respect of these two respondents. Dealing with the evidence of the PWs 2 and 4, the High Court has given ample reasons in support of their finding namely that Mulaim Singh was known to PWs 2 and 4 very well and the prosecution's case that he is not known to them is to be rejected. The High Court found that Mulaim Singh used to visit the house of Kallaktar as his brother Amar Singh was living there and that his village also is not far",512,RLC
C1082_c4,C1082,case,4,"quota."" 13. The parties are in agreement that 1991 Rules were in existence when the appointments were made to the posts of Deputy Jailor in 1991 and 1994. 14. On August 29, 1995, a tentative seniority list of Deputy Jailors was notified by the Inspector General (Prisons) - the appointing authority - and objections were called for from the concerned officers. In that list, the candidates appointed in 1991 were shown senior to the candidates appointed in 1994. The litigation between the two groups started with this list. The tentative seniority list dated August 29, 1995 came to be challenged before Allahabad High Court in three writ petitions; one by Bholanath Mishra (Writ Petition No. 26560 of 1996), the other by Samar Bahadur Singh (Writ Petition No. 13138/2000) and the third by the first respondent herein Reevan Singh (Writ Petition No. 22919/2001). The writ petition filed by Samar Bahadur Singh was dismissed by the High Court on the ground of availability of alternative remedy before the State Service Tribunal. The writ petition filed by the first respondent herein was allowed on December 2, 2002 and the High Court directed the State of Uttar Pradesh and the Director General (Prisons), Lucknow to treat the appointees of 1994 senior to 1991 appointees. The contention raised by the writ petitioner (first respondent herein) before the High Court was that in view of the second proviso to rule 5 of 1991 Rules, the Deputy Jailors who were selected in the selection which commenced in 1987 must be treated senior to those selected pursuant to the selection that commenced in 1990. The Division Bench agreed with this contention and held as follows: "".........In our opinion the correct interpretation of the proviso to Rule 5 of the U.P. Govt. Servant Rules, 1991 is that persons like the petitioner who were selected in the selection process which commenced in 1987 should be treated as senior to there selected in selection process which commenced in 1990."" 15. While construing the words 'appointed on the result of a subsequent selection' in second proviso to rule 5 of the 1991 Rules, the High Court held as under : ""It may be noted from the language used in the proviso to Rule 5 that a distinction has been made between appointment and selection. The words ""appointed on the result of a subsequent selection"" clearly indicate that for the purpose of the proviso appointment is different from selection. Hence even if persons selected on the basis of the selection which commenced in 1990 were given appointment before giving appointment to the petitioner and others similarly situate the latter will be senior to the former because proviso to Rule 5 treats selection different from appointment. Had that not been so the language of the provision would have been different? The High Court went on to observe further as under : ""There is no dispute that the process of selection of the petitioner and others similarly situate had begun in 1987 whereas selection in which the newly amended respondent nos. 3 and 4 and others situated",512,RLC
C1082_c5,C1082,case,5,"would have been different? The High Court went on to observe further as under : ""There is no dispute that the process of selection of the petitioner and others similarly situate had begun in 1987 whereas selection in which the newly amended respondent nos. 3 and 4 and others situated similar to them had begun in 1990. Thus the selection process of the petitioner and others similarly situate had begun three years prior to the beginning of the selection of respondent nos. 3 and 4 and others similarly situate. It was no fault of the petitioner and others similarly situate that their selection was prolonged far as much as six years, whereas the selection of respondent no. 3 and 4 and others similarly situate was completed in just one year."" 16. The High Court held that 1991 Rules will prevail over 1980 Rules, if there is any conflict between the two Rules. It held : "".........In the present case the proviso to Rule 5 of the 1991 Rules makes it clear that appointment is not to be treated as part of the selection because the words used in the provision are ""appointed on the result of a subsequent selection"". The petitioner and others similarly situate were appointed against the vacancy which existed in 1987 while the selection of respondent nos. 3 and 4 and others similarly situate by the U.P. Subordinate Selection Commission were made against vacancies which existed in 1990. In our opinion the petitioner and others similarly situate should not suffer, for no fault of theirs."" 17. Being not satisfied with the judgment of the High Court dated December 2, 2002, three appeals, by special leave, have been filed, one by the State of Uttar Pradesh and the other two by 1991 appointees. 18. We have heard M/s. P.N. Mishra, Vijay Hansaria and Subodh Markandey, senior counsel for the appellants and Shri Pramod Swaroop, senior counsel for Respondent No. 1. On behalf of the appellants, it is urged that rule 5 of the 1991 Rules has no application as it is applicable where the service rules provide for appointment by direct recruitment only. Since the posts of Deputy Jailor, as per 1980 Rules, are to be filled by direct recruitment as well as by promotion, the mode and manner of determination of seniority provided in rule 5 cannot be applied and instead rule 8 of the 1991 Rules would be applicable for the purposes of determination of seniority. 19. Learned senior counsel for the appellants submitted in the alternative that even if rule 5 of the 1991 Rules is held to be applicable, second proviso appended to rule 5 does not contemplate that the persons appointed pursuant to the result of a subsequent selection (although their date of substantive appointment is earlier in point of time) shall rank junior to the persons appointed later because their process of selection was initiated earlier. It was submitted that the word 'result' in second proviso of rule 5 of the 1991 Rules is not without significance. Our attention was drawn to rule 4",512,RLC
C1082_c15,C1082,case,15,"commenced in 1987 should rank senior to those selected in the selection process commencing much later in 1990. By a process of semantic reasoning, the High Court tried to make a distinction between 'selection' and 'appointment' and held that under the proviso to rule 5 what was determinative was not appointment but selection. Proceeding on that basis the High Court held that though the appellants were appointed earlier (in 1991) than respondent no.1 who was appointed later (in 1994), nevertheless they would rank junior to him because they were appointed ""on the result of a subsequent selection"". 45. I am completely unable to see how the facts of this case can be squeezed to fit into the proviso to rule 5 of the 1991 Rules. An indication of the kind of cases to which the proviso would apply is given in the explanation to it. Further, in service law it is not unknown (especially in cases where recruitments are made regularly and the selection process is not inordinately prolonged) that even while a select list is alive and it is yet to be completely exhausted another select list on the basis of the next selection comes into being and appointments are made from that list. In such a situation certain vacancies relatable to the previous selection may still be filled up from the waiting list/unexhausted previous list and in those cases even though the appointment might take place later, by virtue of the proviso in question, the candidate from the previous list would rank senior to the candidate appointed from the third list. To my mind, the proviso relied upon by the High Court has no application to the facts of this case where the two appointments, based on selections made by two different agencies, are separated by a gap of two and a half years. 46. In my brother's judgment, rule 5 is discarded in preference to rule 8 of the 1991 Rules because the post of Deputy Jailer is open to two modes of recruitment, one direct and the other by promotion from amongst the permanent Assistant Jailers (vide rule 5 of the 1980 Rules). It is pointed out that rule 5 of the 1991 Rules begins by expressly stating, ""Where according to the service rules appointments are to be made only by the direct recruitment...."" On the other hand rule 8 begins by saying, ""Where according to the service rules appointments are made both by promotion and by direct recruitment...."" And under rule 8, seniority is to be determined on the basis of the date of the order of the substantive appointment. Applying the date of substantive appointment as the basis to determine seniority the appellants would indeed rank senior to respondent no.1. 47. With full respect, however, I am unable to persuade myself in regard to the application of rule 8 of the 1991 Rules to the facts of the case. The facts of the case are extraordinary and they seem to me, to fall completely outside the provisions of the 1991 Rules. An attempt to fit those",512,RLC
C1098_c9,C1098,case,9,"in Food Corporation of India v. M/s. Kamdhenu Cattle Feed Industries 1992 Indlaw SC 426 (supra) and Union of India v. Hindustan Development Corporation and others1993 Indlaw SC 330 (supra) and argued that refusal of the State Government to approve utilization of some portions of land in focal point, Mohali for carving out residential pockets was wholly arbitrary and the Division Bench was not at all justified in declining relief to the writ petitioners only on the ground that at the time of submitting applications, they knew that the Corporation will not be obliged to allot plots to the successful applicants and that draw of lots was held with a clear indication that the same would be provisional. Learned senior counsel emphasized that residential pockets were carved out by the Corporation in focal point, Mohali in consonance with the policy contained in Memo dated 26.12.2001 and when the Division Bench held that the decision contained in Memo dated 5.8.2004 is vitiated due to malafides, a direction ought to have been given for allotment of residential plots to the successful applicants. Learned counsel further argued that even though the draw held in furtherance of advertisement dated 23.3.2004 was provisional, after having treated the same as final and allotted residential plots to those who had applied for plots in focal points at Patiala and Ludhiana, the Corporation cannot refuse to fulfill its promise of allotting plots to those who had applied for the plots in focal point, Mohali. 19. Learned counsel appearing for the State and the Corporation argued that the writ petitioners are not entitled to invoke the doctrines of promissory estoppel and legitimate expectation because at the time of submitting applications, they were very much aware of the stipulation contained in the format of application that the Corporation will not be obliged to allot plots to them and this was made more explicit by incorporating a note in advertisement dated 23.3.2004 that the draw of lots will be provisional and the same would not confer any right upon the successful applicants to claim allotment of plot or interest on the earnest money. Learned counsel submitted that inclusion of the writ petitioners' name in the provisional list of the successful applicants did not confer a right upon them to seek allotment of plots because the decision of Plan Approval Committee of the Corporation to approve the layouts of residential pockets in Phases VIII-A and VIII-B, Mohali was subject to sanction of change of land use and the Allotment Committee had categorically opined that no allotment may be made by the Corporation for housing purposes. Learned counsel then submitted that the State Government's decision to approve the Corporation's proposal for earmarking 20-30% land for Industrial Housing did not result in change of the land use which continued to be industrial and the Corporation had no right to suo motu change the land use from industrial to residential. 20. Learned counsel submitted that any change of land use is required to be approved by the competent authority constituted under the 1995 Act and the State",512,RLC
