doc_id,chunk_id,text,word_count,section,is_section_start,label
doc_00000,0,"PREAMBLE: IN THE SUPREME COURT OF INDIA
Criminal Appeal No. 1000 of 2013 BEFORE: Justice N.V. Ramana",17,PREAMBLE,True,0
doc_00000,1,FACTS: FACTS,2,FACTS,True,0
doc_00000,2,"SUBMISSIONS: :
The appellant was convicted under Section 304B IPC for the offence of Domestic Violence. The learned Sessions Judge convicted the accused and sentenced him to rigorous imprisonment. The matter was taken up before the Supreme Court of India.",40,SUBMISSIONS,True,0
doc_00000,3,ANALYSIS: SUBMISSIONS,2,ANALYSIS,True,0
doc_00000,4,"facts: :
The learned counsel for the appellant submitted that the trial court had erred in appreciating the evidence on record. The prosecution examined 8 witnesses to prove its case beyond reasonable doubt.",33,facts,True,0
doc_00000,5,order: ANALYSIS,2,order,True,0
doc_00000,6,"ORDER: :
After careful consideration of the",7,ORDER,True,0
doc_00001,0,"PREAMBLE: IN THE DELHI HIGH COURT
Criminal Appeal No. 1001 of 2010 BEFORE: Justice Indira Banerjee",16,PREAMBLE,True,0
doc_00001,1,FACTS: FACTS,2,FACTS,True,0
doc_00001,2,"SUBMISSIONS: :
The appellant was convicted under Section 506 IPC for the offence of Outraging Modesty. The learned Sessions Judge convicted the accused and sentenced him to rigorous imprisonment. The matter was taken up before the Delhi High Court.",39,SUBMISSIONS,True,0
doc_00001,3,ANALYSIS: SUBMISSIONS,2,ANALYSIS,True,0
doc_00001,4,"facts: :
The learned counsel for the appellant submitted that the trial court had erred in appreciating the evidence on record. The prosecution examined 3 witnesses to prove its case beyond reasonable doubt.",33,facts,True,0
doc_00001,5,order: ANALYSIS,2,order,True,0
doc_00001,6,"ORDER: :
After careful consideration of the",7,ORDER,True,0
doc_00002,0,"PREAMBLE: IN THE SUPREME COURT OF INDIA
Criminal Appeal No. 1002 of 2021 BEFORE: Justice N.V. Ramana",17,PREAMBLE,True,1
doc_00002,1,FACTS: FACTS,2,FACTS,True,1
doc_00002,2,"SUBMISSIONS: :
The appellant was convicted under Section 506 IPC for the offence of Criminal Intimidation. The learned Sessions Judge convicted the accused and sentenced him to rigorous imprisonment. The matter was taken up before the Supreme Court of India.",40,SUBMISSIONS,True,1
doc_00002,3,ANALYSIS: SUBMISSIONS,2,ANALYSIS,True,1
