chunk_id,doc_id,doc_type,chunk_idx,text,word_count,role
C10_c2,C10,case,2,"of the building under this section shall be passed- (a) on the ground specified in cl. (a) of subsection (1), unless the landlord gives an undertaking that the building shall, on completion of the repairs, be offered to the tenant, who delivered possession in pursuance of an order under sub-s. (1) for his re-occupation before the expiry of three months from the date of recovery of possession by the landlord, or before the expiry of such further period as the Controller may, for reasons to be recorded in writing, allow; or (b) on the ground specified in cl. (b) of subsection (1), unless the landlord gives an undertaking that the work of demolishing any material portion of the building shall be substantially commenced by him not later than one month and shall be completed before the expiry of three months from the date he recovers possession of the entire building or before the expiry of such further period as the Controller may, for reasons to be recorded in writing, allow. (3) Nothing contained in this section shall entitle the landlord who has recovered possession of the building for repairs to convert a residential building into a non-residential building or a non-residential building into a residential building unless such conversion is permitted by the Controller at the time of passing an order under subs. (1). (4) Notwithstanding an order passed by the Controller under cl. (a) of sub-s. (1) directing the tenant to deliver possession of the building, such tenant shall be deemed to continue to be the tenant, but the landlord shall not be entitled to any rent for the period commencing on the date of delivery of possession of the building by the tenant to the landlord and ending with the date on which the building is offered to the tenant by the landlord in pursuance of the undertaking under cl. (a) of subs. (2). (5) Nothing in this section shall entitle any landlord of a building in respect of which the Government shall be deemed to be the tenant to make any application under this section"". S. 15 empowers the tenant to re-occupy after repairs. There is no such provision in case of eviction on the ground of bona fide need for demolition and reconstruction. This is one of the grounds of challenge."" 6. S. 16 deals with the right of the tenant to occupy the building if it is not demolished. Sub-s. (2) which was amended and introduced by Act 23 of 1973 dealing with the reconstructed building reads as follows: ""16(2) Where in pursuance of an order passed by the Controller under cl. (b) of sub-s. (1) of section 14, any building is totally demolished and a new building is erected in its place, all the provisions of this Act shall cease to apply to such new building for a period of five years from the date on which the construction of such new building is completed and notified to the local authority concerned."" 7. In this connection s. 30 which exempts certain buildings may be referred to",512,FAC
C1000_c1,C1000,case,1,"He reached the police station at about 11.30 a.m. At that time, Head Constable Ansar Sherif (PW-10) was present. He was although attached to Gingee Police Station, at the relevant point of time having been instructed by Inspector Mohan Doss Michael (PW-11), he was performing his duties at the Valathi Police Station. Head Constable (PW- 10) recorded the statement of PW-1. A copy of the First Information Report was sent to the Inspector (PW-11) who came to the scene of occurrence at about 12.30 p.m. In the meantime, PW-1 and PW-2 had also reached the place of occurrence. The statements of PW-1, PW-2 as also of those who were witnesses to Mahazar were recorded. Post-mortem examination on the dead body was conducted by Dr. Marimuthu (PW-9) on 30.10.1993. 3. The following injuries were found on the dead body of the deceased: (1) Incised wound (cut wound) across the top of the head, 15'x4'.0 in deep in brain, brain incised to about 1 cm depth, subdural haematoma about 100 cc on the left parietal area. (2) Oblique incised wound in the midline of the head 8' x 2' on brain deep. (3) Oblique incised wound on the right side parental area 17' x 2' x 1-1/2' cm. (4) Antere posterior incised wound on the left side involving 7x2x1 cm. (5) Antere posterior incised would on the right side frontal area, 4x1x1 cm. (6) Cut injury with clear margin on the left hand running through distal ends of the 2,3,4 & 5th bones removing (amputating) 2, 3, 4 & 5th bone. Skin is attached to main part of the hand. (7) Horizontal abrasion on the left shoulder 15x1 cm. (8) Abrasion on the left side neck 4x1 cm. (9) Abrasion on the back of right forearm 2x1 cm. 4. According to the doctor (PW-9), the injuries were ante-mortem in nature and were possible to have been caused by a sharp-edged knife or Koduval knife. Upon completion of the investigation, a charge sheet was filed against all the accused. 5. Before the learned Sessions Judge, inter alia, a plea was taken that another First Information Report had been lodged in regard whereto an entry had been made in the General Diary. However, the same had not been produced. The learned Sessions Judge upon consideration of the evidences brought on record including those of the eye-witnesses, namely, PW-1 and PW-2 found the prosecution case to have been proved beyond all reasonable doubt and recorded a judgment of conviction against all the accused persons. On an appeal being preferred before the High Court, the High Court did not believe that part of the prosecution case involving A-5 and A-6 who admittedly had left the village at 6.00 a.m. on 29.10.1993 as also that of A-7 who allegedly had come to the scene and distributed the weapons to the appellants herein. They were, therefore, acquitted. During the pendency of the appeal before the High Court, A-6 expired and his appeal thus was held to have abated. The appeal filed by the appellants herein before the High Court, however,",512,FAC
C1000_c2,C1000,case,2,"had come to the scene and distributed the weapons to the appellants herein. They were, therefore, acquitted. During the pendency of the appeal before the High Court, A-6 expired and his appeal thus was held to have abated. The appeal filed by the appellants herein before the High Court, however, was dismissed. 6. Mr. V Krishnamurthy, the learned counsel appearing on behalf of the appellants, in support of the appeals, inter alia, submitted that keeping in view the genesis of the occurrence it was obligatory on the part of the prosecution to prove that the land in question belonged to the deceased. Drawing our attention to the statements made by the Investigating Officer, the learned counsel would submit that admittedly no witness was examined to establish the ownership and possession of the deceased over the land in question and the prosecution cannot be said to have proved its case. It was further submitted that the General Diary having not been produced, which was called for by the appellants with a view to show that another Report had also been lodged prior to the lodging of the First Information Report by PW- 1 and the same having not been produced by the prosecution, an adverse inference ought to have been drawn by the learned courts below. 7. Mr. Krishnamurthy urged that the prosecution has further not been able to prove that the Head Constable PW-10 who was admittedly attached to the Gingee Police Station, was at the relevant point of time asked by the Inspector PW- 11 to perform his duties at Valathi Police Station. It was furthermore contended that the High Court committed a serious error in placing reliance upon the evidence of PW-1 on the premise that he was a disinterested witness and had nothing to do with the dispute between the parties although it had been brought on record that the younger sister of the deceased was married to his sister's son. The learned counsel urged that in a case of this nature where the title of the land was disputed, the learned courts below should have considered the question as to whether in a situation of this nature the appellants could have exercised their right of private defence in regard to the property. 8. It is not in dispute that both the parties were related to each other, the deceased being a co-parcener of the appellants. It is furthermore not in dispute that the parties had been disputing over the ownership of the land. The appellants had been disputing the absolute ownership of the deceased in regard to the land in question on the ground that they were also co-owners thereof. PW-1 was, thus, related to both the parties. Nothing has been brought on record to show that he had anything to do with the land in question and for one reason or the other he would side with the deceased. It has also not been established that PW-1 was otherwise inimically disposed toward the accused. Both PW-1 and PW-2 made categorical statements to the effect that they had",512,FAC
C1000_c3,C1000,case,3,"had anything to do with the land in question and for one reason or the other he would side with the deceased. It has also not been established that PW-1 was otherwise inimically disposed toward the accused. Both PW-1 and PW-2 made categorical statements to the effect that they had gone to the scene of occurrence with a view to prevent the appellants from causing obstructions to the ploughing of land by the deceased. They were requested to do so by the deceased. In fact, PW-1, as would appear from his evidence, advised the deceased to take the matter to the Panchayat so that the dispute between the parties could be resolved. 9. He did not pay any heed to his advice and insisted that he had a right to plough the land as the same belonged to him. PW-1, in his deposition, made detailed statements as to how and in what manner the deceased was attacked with knives by all the appellants. He had furthermore stated the manner in which the injuries were caused to the deceased by each one of them. He had also identified the weapons of assault in Court. The statements made by the said witness stand corroborated by the medical evidence. PW-2 also supported him in all material particulars. The fact that he was the author of the First Information Report is not disputed. Having found the deceased to have expired at the place of occurrence, he only went to his house for putting on his shirt and started for the police station. He had to walk 8 kms. Three hours must have been taken to reach the police station. It has further not been denied or disputed that the Investigating Officer (PW-11) reached the place of occurrence at about 12.30 p.m. on the same date and started investigation. The statement of PW-10 who recorded the First Information Report has also been taken by the Investigating Officer. 10. It may be true that the Investigating Officer might not have made any investigation as regards the ownership of the land, but from his evidence it is evident that he had been informed and proceeded on the basis that the land in question had been in possession of the deceased. The prosecution story is that the deceased had been ploughing the land and thus his possession thereover cannot be disputed. PW-11 had drawn a rough sketch which was marked as Ex. P.13. Sl. Nos. 1 to 7 of the said sketch indicate the land of the deceased and his brother Raj Kumar and Sl. No. 3 thereof indicates the place where the dead body was found being Survey No. 12/6. The learned trial Judge has categorically arrived at a finding that from the evidence on record it was established that the occurrence took place on the land of the deceased being Survey No. 12/6 in the centre of Kumararaja's Karambu land, Kumararaja's own land being situated on the West of that land and shown in Sl. No. 4 of the said sketch (Ex. P.13). 11. The Investigating Officer on",512,FAC
C1000_c4,C1000,case,4,"that the occurrence took place on the land of the deceased being Survey No. 12/6 in the centre of Kumararaja's Karambu land, Kumararaja's own land being situated on the West of that land and shown in Sl. No. 4 of the said sketch (Ex. P.13). 11. The Investigating Officer on the date of occurrence did not find the appellants in the village. They were arrested after a few days from another village. The appellants herein before the court below did not contend that they had been in possession of the land. If they intended to raise a right of private defence in regard to the property, it was for them to prove that they were in possession of the land and the deceased trespassed thereinto. No contention as regard the exercise of right of private defence in regard to their person had thus been or could be raised. 12. In Hafiz vs. State of U.P., (2005) 12 SCC 599 2005 Indlaw SC 861, this Court categorically observed : ""It may be true that the right of private defence need not specifically be taken and in the event the court on the basis of the materials on record is in a position to come to such a conclusion, despite some other plea having been raised, that such a case had been made out, it may act thereupon. Mutually destructive defences taken by the accused persons would also go a long way to disbelieve their story "" 13. The deceased was not armed and was all alone when he first started ploughing the land. Only when he was obstructed from doing so, he approached PW-1 and PW-2. Evidence of PW-1 appears to be natural. He is not only said to be an eye-witness, he walked all the way to the police station to lodge the First Information Report as public transport was not available. In the First Information Report, he categorically stated that PW-2 was also an eye-witness. The Investigating Officer (PW-11) had also found the injuries on the person of the deceased. Despite some minor contradictions, both the trial Judge and the High Court placed reliance upon the evidence of PW-1 and PW-2. We do not find any reason to differ with their opinion. 14. Submission of Mr. Krishnamurthy that another First Information Report was also lodged earlier, is based only on a suggestion made to PW- 10. PW-10, in his deposition, categorically denied that even before lodging the complaint Ex.P.1, another complaint was lodged at Valathi Police Station. It is true that the learned trial Judge had recorded a contention raised on behalf of the accused that despite an application having been filed by the accused, the prosecution had failed to produce Case Diary and General Diary relating to the date of occurrence of the Valathi Police Station. When however questioned, the learned counsel could not point out from the records of the case that any such application was filed by the accused or any order had been passed by the learned trial Judge calling for the General Diary from the police",512,FAC
C1000_c5,C1000,case,5,"occurrence of the Valathi Police Station. When however questioned, the learned counsel could not point out from the records of the case that any such application was filed by the accused or any order had been passed by the learned trial Judge calling for the General Diary from the police station. 15. The question of drawing an adverse inference against the prosecution for non-production of the Case Diary or the General Diary would have arisen had the Court passed an order being satisfied that the prosecution intended to suppress some facts which were material for the purposes of arriving at the truth or otherwise of the prosecution case. If no such application had been filed and no order thereupon had been passed by the Court, the question of drawing any adverse inference against the prosecution would not arise. We have noticed hereinbefore that PW-10 made a categorical statement to the effect that prior to the lodging of the First Information Report, no other Report had been lodged. If that be so, the question of production of any document did not arise unless it had been pointed out by the accused with reference to the number or the person who made such report as to the existence or recording of any other case in the General Diary. Even no suggestion to that effect has been given to PW-1. We, therefore, have no hesitation to reject the said contention. 16. We are, for the reasons aforementioned, of the opinion that the learned trial Court and the High Court having considered the prosecution case from all angles, no case has been made out for our interference therewith. The appeals are, therefore, dismissed. Appeals dismissed",281,FAC
C1006_c0,C1006,case,0,"Food Corporation of India and Another v Yadav Engineer and Contractor Supreme Court of India 6 August 1982 Civil Appeal No. 3317 of 1981 The Judgment was delivered by: D. A. Desai, J. 1. A fond hope that a decision of this Court with the sanction of Art. 141 of the Constitution that the law laid down therein will be the law of the land would put an end to a raging controversy amongst various High Courts stands to some extent rudely shaken when the controversy with a slight variation has again been placed in the lap of this Court. For highlighting and then resolving the controversy facts in dispute have a little or no relevance save and except mentioning certain events. Respondent Yadav Engineer & Contractor, a partnership firm filed a suit against Food Corporation of India, 1st defendant and Shyam Narain Nigam, District Manager of 1st defendant as 2nd defendant, for a declaration that the contract between the plaintiff and the 1st defendant for handling and transportation of the goods of the 1st defendant Corporation was subsisting on the date of the suit and restraining the defendant from committing breach of the same by handing over that work to some one other than the plaintiff. The suit was instituted on 1 June 1981, in the Court of the III Civil Judge, Class I, Gwalior. In the suit a notice of motion was taken out purporting to be under Order XXXIX, rules 1 and 2 read with s. 151 of the Code of Civil Procedure, for an interim injunction restraining the defendants from committing a breach of contract and from interfering with the work of handling and transport of goods of the 1st defendant Corporation by the plaintiff during the pendency of the suit. On the notice of motion being taken out the Court directed notice of the same to be served and the same was made returnable on the next day, 2 June 1981. On the returnable date the 2nd defendant, District Manager of the 1st defendant Corporation who had office in the City of Gwalior was served and he appeared through one Shri N.K. Modi, Advocate, filed the letter of authority (Vakalat) in favour of the learned advocate on behalf of 2nd defendant and the learned advocate prayed for time for 'reply and arguments to the plaintiff's application for temporary injunction'. 2. The court acceded to the request and posted the matter on 3 June 1981. An endorsement appears in the record that the 1st defendant Food Corporation of India was not served though the endorsement reads 'absent'. However, the last line in the proceeding makes it clear that the case was posted on 3 June 1981' 'for reply arguments and awaiting service on 3 June 1981'. When the matter came up on the next day, i.e. 3 June 1981, an application was moved on behalf of 1st defendant inviting the attention of the Court to the subsisting arbitration agreement between the plaintiff and the 1st defendant and which agreement authorised the Managing Director of the 1st defendant to",512,FAC
C1011_c1,C1011,case,1,"P 20. However, the injured Aziz Khan succumbed to his injuries on August 23, 1973. The Investigating Officer completed the investigation and filed the charge-sheet against the accused i.e. the respondent and his father. 6. The trial court rejected the dying declaration Ex. P 20 for the reasons mentioned in its judgment and on that basis discarded the testimony of PW 3 and finally concluded that the prosecution has not made out the case against the appellant and his father and consequently acquitted them. The State thereafter preferred the appeal before the High Court which allowed the appeal as stated above. 7. The totality of the evidence adduced by the prosecution is twofold; one, the direct evidence of PW 3 who is an injured witness; and two, the dying declaration Ex P 20 recorded by PW 17 at the hospital. PW 3 though is the brother of the deceased Aziz Khan, his presence at the scene of occurrence cannot be disputed because he too had received an injury on his hand on being beaten by the appellant with a stick. Further, in the present case the relationship does not play an important role because both the parties were closely related to each other. PW 3 has given a full account of what had happened at the scene of occurrence and has testified to the fact that Aziz Khan received a gunshot injury at the hands of the appellant on being instigated by his father Ishaq Khan. 8. In Ex. P 20 the deceased has given a full account of the incident stating that it was the appellant who shot at him at the instance of his father. The trial court had discarded the dying declaration only on the ground that the deceased had implicated the brother of the appellant as having been present at the time of occurrence. In our view, the mere mentioning of the presence of the brother of the appellant at the scene cannot be said to have whittled down the veracity of the dying declaration. The High Court in its judgment while dealing with Ex. P 20 has observed as follows: ""Having gone through his (PW 3) testimony, we find that the reasons given by the trial court for discarding it are perverse. We see no valid reason to disbelieve the testimony of this witness. Turning to the dying declaration Ex. P 20 recorded on the date of incident by PW 17 Lakhanlal Shah, Naib Tehsildar, Ujjain, we find that it substantially corroborates the testimony of the eyewitness as to the part played by each accused in the crime."" 9. This Court in Vadivelu Thevar v. State of Madras 1957 Indlaw SC 711957 Indlaw SC 711957 Indlaw SC 71 has laid down the dictum that the evidence of a single witness if wholly reliable, a conviction can be safely based on that evidence alone. After going through the evidence of PW 3, we are convinced that his evidence is wholly reliable and it does not suffer from any infirmity. Ex. P 20 is also a document which can",512,FAC
C1021_c1,C1021,case,1,"of my wife, ransacked both the rooms and the household articles were scattered. It appeared that the assailants entered through the main door after obtaining the keys and the lock along with the key was found in the stair case. I, therefore, request you to kindly take necessary action and do the needful to (illegible) the miscreants. Yours faithfully, Sd/- Asim Kumar Guha"" 5. As is evident from the above complaint that Dr. Ashim Guha, husband of the deceased, his son Debmalya and daughter-in-law Indira had left for Garihat on 28th April, 1999 at about 8.15 P.M. The deceased was all alone at home. When they returned home at about 9.30 P.M. they found a large gathering in front of the house. Upon entering the house, they found that Phool Guha was lying dead inside the room of her daughter-in-law with tongue protruded and with some marks of bruises on her body and blood trickling out of her mouth. It transpired that the assailants committed the murder of his wife and had ransacked both the rooms as the household articles were lying scattered. Mrinal Kanti Roy, the Investigating Officer, who was later examined as PW 13, commenced his investigation. He called for experts including dog squad. The photographs were taken. The dog squad was brought to the place of occurrence. After sniffing the place of occurrence, taking the round of the house and also sniffing the handkerchief lying on the face of the deceased, the dogs could not identify anyone present there. 6. Thereafter inquest of the deceased was taken with the help of the relatives. The body was taken to Mominpur Police Morgue by the constable where the post mortem of the deceased was conducted and the report is Ext. 8. From the place of occurrence certain articles were recovered and seizure memos were prepared whereafter both the rooms at the upper floor of the house were locked. The saliva and blood staines, where the body was found, were also seized by scraping floor and separate seizure memo was prepared and marked as Ext. 3. After some enquiry and investigation, the Investigating Officer arrested Sanatan Naskar, Appellant No. 1 on 8th July, 1999 from village Khasiara. He admitted his guilt in commission of the crime as well as identified the handkerchief recovered as his own. During investigation this appellant made a statement, which led to the recovery of wrist watches, which were allegedly looted from the house of the deceased. 7. He also informed about the involvement of accused Mir Ismile, Appellant No. 2, who was arrested on 11th July, 1999 from Jugi Battala and he also, during investigation, made a statement leading to the recovery of two wrist watches as well as camera. The watches were recovered vide recovery memo Ext.6. The camera was recovered on the statement of the said accused from village Jhijrait for which the seizure memo Ext. 5 was also prepared. An attempt was made to recover jewellery from the shop, which was raided, but nothing could be recovered. The Investigating Officer then recorded the statements",512,FAC
C1021_c5,C1021,case,5,"fact, in consequence of the information received from a person accused of an offence. The second is that the discovery of such fact must be deposed to. The third is that, at the time of the receipt of the information, the accused must be in police custody. The last but the most important condition is that, only ""so much of the information"" as relates distinctly to the fact thereby discovered is admissible. The rest of the information has to be excluded. The Court further held as under: ""The various requirements of the section can be summed up as follows: The fact of which evidence is sought to be given must be relevant to the issue. It must be borne in mind that the provision has nothing to do with the question of relevancy. The relevancy of the fact discovered must be established according to the prescriptions relating to relevancy of other evidence connecting it with the crime in order to make the fact discovered admissible. The fact must have been discovered. The discovery must have been in consequence of some information received from the accused and not by the accused's own act. The person giving the information must be accused of any offence. He must be in the custody of a police officer. The discovery of a fact in consequence of information received from an accused in custody must be deposed to. Thereupon only that portion of the information which relates distinctly or strictly to the fact discovered can be proved. The rest is inadmissible."" 13. Similar view was taken by this Court in Salim Akhtar v. State of U.P. [(2003) 5 SCC 499 2003 Indlaw SC 334]. 14. Now let us examine certain material facts which would help in understanding the chain of events in its correct perspective. PW 8 and PW 9 have specifically stated that on the date of occurrence they had seen the accused near the place of occurrence. PW5 and PW 6 have also stated that the accused were known to the family of the deceased. Most important statement pointing towards the normal practice of the house and likely involvement of the accused is pointed out in the statement of PW6, Smt. Indira, the daughter-in-law of the deceased. Besides referring to their departure from the house along with others and returning back to the house at about 9.30 P.M., she also stated that she found her mother-in-law, the deceased, lying on the floor and blood coming out of her mouth from the right side. The house was ransacked. She specifically stated that she would be able to identify the wrist watches and the camera and she gave the make of wrist watches and camera i.e. HMT and Titan wrist watches and Paintax camera. All the articles were identified by her as Ex.P.4 and P.5 respectively. About the accused knowing the family as well as how they used to open the entrance door she stated as under: ""These two accused persons in the lock up were occasionally engaged by us as hired labours for watering the flower tubs",512,FAC
