chunk_id,doc_id,doc_type,chunk_idx,text,word_count,role
C10_c13,C10,case,13,"where Chandrachud, C.J.speaking for the Court at pages 534to537 of the report laid down the propositions guiding Art. 14 and emphasised that the classification need not be constituted by an exact or scientific exclusion nor insist on delusive exactness or apply doctrinaire tests for determining the validity of classification in any given case. Classification therefore, is justified if it is not palpably arbitrary. We also in view of the different provisions we have discussed bear in mind the fact that there is no such consensus among the different States about the right of re-induction of tenant in case of eviction required for demolition. It will depend on the particular State and, appreciation of the need and problem at a particular point of time by that State concerned. The purpose underlying s. 14(1)(b) read with s. 16(2) of the Tamil Nadu Rent Act is to remove or mitigate the disinclination on the part of landlords to expend moneys for demolition of dilapidated buildings and reconstruct new buildings in their places. It is a matter of which judicial notice can be taken that the return from old and dilapidated buildings is very meagre and in several cases such buildings prove uneconomic for the landlords with the result that the condition of the building deteriorates and there are even collapses of such buildings. It is for this purpose that the landlord is given by s. 14(1)(b) read with s. 16 an incentive in the form of exemption from the provisions of the Rent Act in respect of reconstructed building for the limited and short duration of five years. The policy under s. 14(1)(b) read with s. 16 is not in essence different from the policy adopted by different States of giving exemption for a limited duration to newly constructed buildings. 34. These provisions, namely, exemption of new buildings from the provisions of the Rent Act for a period of five years or ten years has been upheld as constitutional. See in this connection the observations of this Court in the case of Punjab Tin Supply Co., Chandigarh & Ors. v. The Central Govt. & Ors., [1984] 1 SCC 206 1983 Indlaw SC 259 and Mohinder Kumar v. State of Haryana and Anr, [1985] 4 S.C.C. 221 at pages 226-2271985 Indlaw SC 262. There the Court emphasised that it is entirely for the Legislature to decide whether any measures, and if so, what measures are to be adopted for remedying the situation and for ameliorating the hardship of tenants. The Legislature may very well come to a conclusion that it is the shortage of buildings which has resulted in scarcity of accommodation and has created a situation where the demand for accommodation is far in excess of the requisite supply, and, it is because of such acute scarcity of accommodation the landlords are in a position to exploit the situation to the serious detriment of the tenants. The Court observed at pages 226to227 of the report as under: ""The Legislature in its wisdom may properly consider that in effecting an improvement of the situation and for",512,PRE_RELIED
C100_c0,C100,case,0,"Hiten P. Dalal v Bratindranath Banerjee Supreme Court of India 11 July 2001 Appeal (Cr.) 688 of 1995 The Judgment was delivered by : Ruma Pal, J 1. The appellant was found guilty of an offence u/s. 138 of the Negotiable Instruments Act, 1881 by the Special Court set up under the Special Court (Trial of Offences relating to Transactions in Securities) Act, 1992 (referred to as, the ""Act""). The appellant was sentenced to rigorous imprisonment for a term of one year and a fine for a sum of Rs. 1 lakh, in default to undergo further rigorous imprisonment for a term of three months. Aggrieved by the judgment and order of the Special Court, the appellant has preferred this appeal. 2. In the course of the hearing of the appeal before this Court, learned counsel for the appellant raised a preliminary issue based on the language of sub S. 2 of S. 3 of the Act. It was contended that the jurisdiction of the Special Court was limited to offences committed between 1 April 1991 and on or before 6 June 1992 and the offence alleged having taken place after 6 June 92, the Special Court had no jurisdiction to try it. The Bench then hearing the appeal, recorded in its order dated 7 Sepetember 1999: ""... ... ... Prima Facie we are not in agreement with the contention raised by the learned counsel for the appellant on first principles but the learned counsel for the appellant has brought to our notice a judgment of this Court in the case of Minoo Mehta vs. Sharak D. Mehta (1998) 2 SCC 418 1998 Indlaw SC 438. In the aforesaid judgment on facts of that case this question possibly did not arise for consideration but even otherwise Their Lordships have come to the conclusion : 'Therefore, every offence pertaining to any transaction in securities which is covered by the sweep of the Act, that is if such transaction has taken place between 1 April 1991 and on or before 6 June 1992 would be subjected to the provisions of the Act regarding trial of such an offence.' Having held so in the later part of the said paragraph the Lordships have come to the conclusion: 'The offence referred to in sub-s. (2) of S. 3 which is within the sweep of S. 7 of the Act must be on offence committed by any person and must have the following two characteristics: Such offence must relate to transactions in securities; and Such offence should be alleged to have been committed between 1April 1991 and on or before 6 June 1992'. This statement of law is contrary to what their Lordships have said in the earlier paragraph as referred to earlier and we are not in agreement with the enunciation made in the second part of above. In this view of the matter, we think it appropriate that this appeal should be placed before a 3-Judge Bench."" The matter was thereafter placed before this Bench and heard. 3. The apparently contradictory observations in Minoo Mehta",512,PRE_RELIED
C101_c6,C101,case,6,"of goods as well as trade and commerce therein as it seeks to regulate the sale and purchase of agricultural produce to be carried on in the specified markets under the Act. To that extent the provisions of Entry 33 of List III override the legislative powers of the State Legislature in connection with legislations dealing with trade and commerce in, and the production, supply and distribution of, goods. Once we turn to Entry 33 of the Concurrent List, we find that on the topic of trade and commerce in, and the production, supply and distribution of, goods enumerated therein at sub-clause (b), we find listed items of foodstuffs, including edible oilseeds and oils. Thus to the extent to which the Market Act seeks to regulate the transactions of sale and purchase of sugarcane and sugar which are foodstuffs and trade and commerce therein, it has to be held that the Market Act being enacted under the topics of legislative powers under Entries 26, 27 and 28 of List II will be subject to any other legislation under Entry 33 of the Concurrent List. As it will be seen hereinafter, the Bihar Legislature itself has enacted the Sugarcane Act in exercise of its legislative powers under Entry 33 of the Concurrent List and, therefore, the field covered by the Sugarcane Act would obviously remain exclusively governed by the Sugarcane Act and to the extent the latter Act carves out an independent field for its operation, the sweep of the general field covered by the Market Act which covers all types of agricultural produce, would pro tanto get excluded qua sugarcane and the products prepared out of it. So far as the Market Act is concerned, it is necessary to note that it is an Act to provide for better regulation of buying and selling of agricultural produce and the establishment of markets for agricultural produce in the State of Bihar and for matters connected therewith. 15. The said Act is enacted essentially to protect the growers of agricultural produce in the State who on account of their ignorance, illiteracy and lack of collective bargaining power may get exploited by middlemen and economically strong purchasers of their agricultural produce with the result that the agriculturists may not get adequate price for their produce. It is with that end in view that the Market Act has been enacted. The Constitutional validity of the Madras Commercial Crops Markets Act, concerned with the regulation of purchase and sale of commercial crops grown by agriculturists was considered by a Constitution Bench of this Court in the case of M.C.V.S. Arunachala Nadar Etc. vs. The State of Madras & Others [(1959) Supp.(1) SCR 92 1958 Indlaw SC 59]. Subba Rao J., speaking for the Court while upholding the Constitutional validity of the said Act emphasised the necessity of such enactment with a view to protect the producers of commercial crops from being exploited by the middlemen and profiteers and to enable them to secure a fair return for their produce. The learned Judge referred to, with approval, the",512,PRE_RELIED
C101_c21,C101,case,21,"Central Government from time to time for sugarcane delivered Cl. 3 of the Order deals with the fixation of minimum price by the Central Government for making it payable by purchaser of sugar to the sugarcane growers. Clause 3A deals with rebate that can be deducted by purchaser of sugar from the price to be paid to the sugarcane grower or the sugarcane growers co-operative society. Rebate provided therein pertains to the minimum price of sugarcane fixed under Clause 3, or the price agreed to between the producer or his agent and the sugarcane grower or the sugarcane growers co-operative society. There is a provision for additional price to be paid to the sugarcane grower by the purchaser of sugarcane as laid down in Cl. 5. Clause 5-A deals with additional price for sugarcane purchased on or after 1st October, 1974 by the producer of sugar. Cl. 6 deals with power of the Central Government by Order to regulate distribution and movement of sugarcane. As per this clause the Central Government can, by order, direct the sugarcane growers to supply the earmarked quantity of sugarcane grown by them in the reserved area fixed for sugar factories to ensure continuous supply of sugarcane as raw material to such factories. This provision is parallel to the statutory provisions enacted by the Bihar Legislature in the Sugarcane Act referred to earlier by us. Cl. 9 refers to the power of the Central Government or any person authorised in this behalf to call for information from various sources as enacted therein. Clause 9-A deals with the power of entry, search and seizure of premises which obviously has to be exercised for fructifying the purposes of the Act. Cl. 11 deals with delegation of powers by the Central Government to any officer or authority thereof or to any State Government or any officer/authority of a State Government. The aforesaid relevant provisions of the Sugarcane (Control) Order show that it seeks to lay down the minimum guaranteed price of sugarcane to the sugarcane growers with a corresponding obligation on them to supply sugarcane to the earmarked factories for which the reserved areas can be fixed. 40. This Order also contemplates negotiated price between the sugarcane growers on the one hand and the sugarcane factories on the other, for whom fixed quota of sugarcane can be earmarked. It has to be appreciated that the aforesaid provisions of the Sugarcane (Control) Order operate in the same field in which the Bihar Legislative enactment, namely, the Sugarcane Act operates and both of them are complementary to each other. When taken together, they wholly occupy the field of regulation of price of sugarcane and also the mode and manner in which sugarcane has to be supplied and distributed to the earmarked sugar factories and thus lay down a comprehensive scheme of regulating purchase and sale of sugarcane to be supplied by sugarcane growers to the earmarked sugar factories. It is, however, true that comprehensive procedure or machinery for enforcing these provisions is found in greater detail in the Sugarcane Act of the",512,PRE_RELIED
C101_c25,C101,case,25,"if any. Such conflicting statutory schemes in their operation in the same field would directly collide. It may be that the Market Act and the Sugarcane Act can both be treated as dealing with socio-economic balancing of interests of growers of agricultural produce and the purchasers thereof, but if it is impossible to reconcile them, the statute laying down the general scheme of operation has to make room for a special statute for which a separate and exclusive field is carved out by the legislature itself. 45. Reliance placed by Shri Dwivedi, senior counsel for the State of Bihar, on a decision of the two judge Bench of this Court in the case of S. Satyapal Reddy and Others vs. Govt. of A.P. and Others (1994(4) SCC 391 1994 Indlaw SC 1568) for submitting that minimum qualifications prescribed by the rules framed under the Central Act could co-exist with higher qualifications prescribed by the State rules also cannot be of real assistance to him for the simple reason that if minimum prices were fixed by the Sugarcane (Control) Order and the Sugarcane Act had stopped short by providing only minimum price and had not regulated the fixation of even higher contractual price by providing for a machinery for the same and had not fixed and regulated the production, control, distribution, sale and purchase of sugarcane, it could have been urged by counsel for the respondents with some emphasis that both these statutory provisions could harmoniously coexist but as discussed earlier such a possibility is not only remote but incapable of visualisation. It is also not possible to agree with the contention of learned senior counsel Shri Dwivedi that the Sugarcane Act of 1981 does not expressly purport to exclude the Market Act, especially when the Bihar Legislature that had enacted the former Act was aware of the Market Act, 1960 holding the field. That this circumstance shows that the legislature purposely did not exclude the applicability of the Market Act so far as the purchase and sale of sugarcane in market areas were concerned. However, this contention by itself cannot clinch the issue. If the very same legislature had felt that existing general Act was sufficient to foot the bill, then there would have been remained no occasion for the very same legislature to enact a special Act for control, regulation, sale and purchase of sugarcane after passage of 21 years. Therefore, the latter Act clearly envisaged carving out of a special field for regulating the sale and purchase of sugarcane and to that extent pro tanto it excluded the operation of the Market Act for that commodity. The intention of the legislature is thus very clear on this aspect. 46. But apart from that, intention of its delegate-the State of Bihar itself is also clear when it excluded S. 15 of the Market Act in exercise of its exemption power u/s. 42 of the Market Act. It is difficult to appreciate the contention of learned senior counsel that S. 15 of the Market Act is not the core of the Act.",512,PRE_RELIED
C101_c32,C101,case,32,"as per S. 3 of the said Act. That is precisely the reason for even its delegate, the State of Bihar in its wisdom to exclude the applicability of S. 15 of the Market Act, so far as the sale transactions of molasses by the sugar factories operating in the market area are concerned. The validity of the Bihar Molasses Act, 1947 has been upheld by this Court in the case of SIEL Ltd. and Others vs. Union of India and Others (1998 (7) SCC 26 1998 Indlaw SC 1288). It has been held to be traceable to Entry 33 List III and is having Presidents assent. 54. It is, therefore, obvious that the Molasses Act laying down a detailed statutory scheme of control of sale and purchase of molasses produced by the sugar factories in the market area will remain within the statutory framework of the aforesaid special statute. The general provisions of the Market Act has, therefore, to give way to the aforesaid special provisions. It was next submitted by learned senior counsel for the State of Bihar that even though the market committee may not be in a position to regulate sale, purchase, storage or processing of molasses not released by the Controller atleast after they were decontrolled by the Central Government in June, 1993 and even when the State Governments have partially decontrolled transactions regarding molasses, such transactions could be regulated under the Market Act. This submission also cannot be countenanced. The reason is obvious. Once the State of Bihar itself has exempted these sale transactions from the operation of S. 15 of the Act, they would be out of sweep of the general provisions of the Market Act and would not statutorily enjoin the market committees to provide any infrastructure for regulating sale of molasses to enable them to bring home the charge of market fee on the sale transactions of molasses as per S. 27 of the Act. As a result of this discussion, the first contention will have to be answered in negative by holding that the provisions of the Market Act cannot apply to the transactions of purchase of sugarcane and sale of sugar and molasses by the sugar mills situated and functioning within the market area of the concerned market committee constituted under the Market Act. 55. CONTENTION NO. 2 : This takes us to the consideration of the alternative contention canvassed by learned senior counsel for the appellants in support of the appeals. Strictly speaking, this alternative contention does not survive for our consideration, in view of our answer to the first contention. However, as we have heard learned counsel for the parties on this alternative contention, we may deal with the same on merits. It has to be kept in view that market fee levied under the Market Act is a fee and not a tax. The Market Act in so far as it enacts S. 27 levying market fee is referable to Entry 66 of the State List read with Entry 47 of the Concurrent List. Both of them deal",512,PRE_RELIED
C101_c55,C101,case,55,"Act. On a conjoint reading of S. 2(1)(a) and S. 15 and the relevant entry in the Schedule, there is no escape from the conclusion that whether the manufactured agricultural produce has undergone manufacturing process within the market area or not or whether such agricultural produce in its raw form is grown in the market area or outside or whether the processed ""agricultural produce"" is imported only for sale within the market area, the applicability of the Act cannot be said to be ruled out to cover all these types of sale transactions. The question posed by Shri Shanti Bhushan learned senior counsel appearing for the appellant for our consideration is no longer res integra. A Constitution Bench of this Court in the case of Ram Chandra Kailash Kumar and Company and Others vs. State of U.P. and Another etc. etc. (1980 Suppl. SCC 27 1980 Indlaw SC 131), speaking through Untwalia J., had to consider the question of imposition of market fee under the Uttar Pradesh Krishi Utpadan Mandi Adhiniyam, 1964 on transactions of purchase and sale of agricultural produce in the market area. While considering this question, various contentions raised by traders operating in the agricultural market in U.P. were listed in para 9 of the report. Contentions no.9 and 23 listed in para 9 of the report are relevant for our purpose. Contention no.9 reads as under : ""No market fee could be levied on goods not produced within the limits of a particular market area and if produced outside and brought in such area."" 83. Contention no.23 reads as under : ""Fee can be charged only on those transactions in which the seller is producer and not on any other transaction."" Repelling these contentions, the Constitution Bench held that market fee could be levied on transactions of sale of goods even though such goods are produced outside the State of Uttar Pradesh or outside the market area of that particular market committee, provided the transactions of sale take place within the limits of that market area. It was also held that, on the other hand, there was no provision in the Act or the Rules to limit the operation of the law in a particular market area only in respect of the agricultural produce produced in that area. So far as Contention no.23 was concerned, approving the Patna view it was held that in the U.P. Act even traders under certain circumstances had been made liable to pay such fee. Similarly, the argument that the market fee can be charged only on those transactions in which the seller is the producer of agricultural produce and not on any other transaction, was also found devoid of any substance by the Constitution Bench. In view of the aforesaid pronouncement of the Constitution Bench, therefore, it must be held that even if an agricultural produce initially is not grown in the market area and it is brought in manufactured form within the market area for sale, such sale transaction in connection with such a produce would be covered by the sweep",512,PRE_RELIED
C101_c56,C101,case,56,"the Constitution Bench, therefore, it must be held that even if an agricultural produce initially is not grown in the market area and it is brought in manufactured form within the market area for sale, such sale transaction in connection with such a produce would be covered by the sweep of the Market Act. The same view was taken by two later judgments of this Court. In the case of Rameshchandra Kachardas Porwal and Others vs. State of Maharashtra and Others etc. etc. (1981 (2) SCC 722 1981 Indlaw SC 423), wherein a three Judge Bench of this Court, speaking through Chinnappa Reddy, J. amongst others, had to consider the question whether change of location of market under the Maharashtra Agricultural Produce Marketing (Regulation) Act, 1963 could be held to be legally justified. It was held that the power to establish principal market or a subsidiary market carried with it the power to ""dis-establish"" such market and that power to establish principal or sub-market yard could be exercised from time to time. 84. In para 11 of the report the further contention was examined as to whether agricultural produce which is imported into the market area from outside the market would be covered by the sweep of the Market Act. While answering this contention in affirmative, it was held that even if agricultural produce is imported into the market area and subjected to sale and purchase thereof in the market area, the provisions of the Market Act would get attracted. The very same contention which learned senior counsel Shri Shanti Bhushan urged for our consideration that the Act is enacted for the interest of agriculturists only and for their sole benefit was repelled. For coming to that conclusion reliance was placed on a decision of the Constitution Bench of this Court in the case of Rameshchandra Kachardas Porwal and Others 1981 Indlaw SC 423 (supra). In this connection, the following pertinent observations were made at page 735, para 11 of the report. ""..The basic assumption of the submission was that the Maharashtra Agricultural Produce Marketing (Regulation) Act was conceived in the interests of the agriculturists only and intended for their sole benefit. This basic assumption is not well founded. It is also clear to our mind that the regulation of marketing of agricultural produce, if confined to the sales by producers within the market area to traders, will very soon lead to its circumvention in the guise of sales by traders to traders or import of agricultural produce from outside the market area to within the market area.. 85. In our view the aforesaid observations are in Rameshchandra Kachardas Porwal's case 1981 Indlaw SC 423 (supra) are in consonance with the decision of the Constitution Bench of this Court in Ram Chandra Kailash Kumar and Company and Others (supra) and are well sustained. This very question was once again examined by another three Judge Bench of this Court in the case of Rathi Khandsari Udyog and Others vs. State of Uttar Pradesh and Others (1985 (2) SCC 485 1985 Indlaw SC 524)",512,PRE_RELIED
C101_c57,C101,case,57,"Kailash Kumar and Company and Others (supra) and are well sustained. This very question was once again examined by another three Judge Bench of this Court in the case of Rathi Khandsari Udyog and Others vs. State of Uttar Pradesh and Others (1985 (2) SCC 485 1985 Indlaw SC 524) wherein Fazal Ali J., speaking for majority, relying upon the earlier decisions of this Court including the Constitution Bench judgment in the case of Ram Chandra Kailash Kumar and Company and Others (supra), considered the very same contention as canvassed by learned senior counsel Shri Shanti Bhushan, namely, that the Market Act was meant to protect the agriculturists who produce basic agricultural produce and was not meant to protect big producers having factories wherein they process the raw agricultural produce and manufacture marketable commodity out of it. Repelling such narrow view of the regulatory provisions of the Market Act, at para 35 of the report, the following pertinent observations were made : ""The Legislature, it is also argued, ""could not have intended"" to cover the produce turned out by producers like the petitioners. While this is one of the objects of the Act, it is not the sole or only object of the Act. The Act has many more objects and a much wider perspective such as development of new market areas, efficient collection of data, and processing of arrivals in Mandis with a view to enable the World Bank to give substantial economic assistance to establish various markets in Uttar Pradesh, as also protection of consumers and even traders from being exploited in the matter of quality, weight and price.."" 86. In view of this settled legal position, therefore, it cannot be held that merely because the tea leaves produced in tea gardens outside the State of Bihar are processed by the appellant in its factories outside Bihar and are converted into blended and branded qualities of packed tea like red label tea or green label tea etc., and even though such packed tea is sold within Bihar Market areas, the Market Act cannot be applied to such sale transactions of manufactured tea after importing it in the State of Bihar. The first point, therefore, has to be rejected. That takes us to the second contention in support of the appeal. POINT NO.2 : The Tea Act of 1953 provides for control by the Union Government of the Tea Industry, including the control, in pursuance of the International Agreement now in force, of the cultivation of tea in, and of the export of tea from, India and for that purpose to establish a Tea Board and levy a duty of excise on tea produced in India. It is necessary to have a bird's eye view of its relevant provisions. S. 4 deals with a board called ""Tea Board"". The members of the board not exceeding forty are to be appointed by the Central Government by notification in the official gazette and would consist of various persons representing - (a) owners of tea estate and gardens and growers of tea; (b) persons",512,PRE_RELIED
C1021_c10,C1021,case,10,"uniformly followed and applied by this Court in a large number of later decisions up-to-date, for instance, the cases of Tufail (Alias) Simmi v. State of Uttar Pradesh [(1969) 3 SCC 198 1969 Indlaw SC 573] and Ramgopal v. State of Maharashtra [(1972) 4 SCC 625 1971 Indlaw SC 555] It may be useful to extract what Mahajan, J. has laid down in Hanumant case: ""It is well to remember that in cases where the evidence is of a circumstantial nature, the circumstances from which the conclusion of guilt is to be drawn should in the first instance be fully established, and all the facts so established should be consistent only with the hypothesis of the guilt of the accused. Again, the circumstances should be of a conclusive nature and tendency and they should be such as to exclude every hypothesis but the one proposed to be proved. In other words, there must be a chain of evidence so far complete as not to leave any reasonable ground for a conclusion consistent with the innocence of the accused and it must be such as to show that within all human probability the Act must have been done by the accused."" 153. A close analysis of this decision would show that the following conditions must be fulfilled before a case against an accused can be said to be fully established: (1) the circumstances from which the conclusion of guilt is to be drawn should be fully established. It may be noted here that this Court indicated that the circumstances concerned ""must or should"" and not ""may be"" established. There is not only a grammatical but a legal distinction between ""may be proved"" and ""must be or should be proved"" as was held by this Court in Shivaji Sahabrao Bobade v. State of Maharashtra [(1973) 2 SCC 793 1973 Indlaw SC 181] where the observations were made: ""Certainly, it is a primary principle that the accused must be and not merely may be guilty before a court can convict and the mental distance between 'may be' and 'must be' is long and divides vague conjectures from sure conclusions."" (2) the facts so established should be consistent only with the hypothesis of the guilt of the accused, that is to say, they should not be explainable on any other hypothesis except that the accused is guilty, (3) the circumstances should be of a conclusive nature and tendency, (4) they should exclude every possible hypothesis except the one to be proved, and (5) there must be a chain of evidence so complete as not to leave any reasonable ground for the conclusion consistent with the innocence of the accused and must show that in all human probability the Act must have been done by the accused. 154. These five golden principles, if we may say so, constitute the panchsheel of the proof of a case based on circumstantial evidence."" 25. So, the first and the foremost question that this Court has to examine in the present case is, whether the prosecution has been able to establish",512,PRE_RELIED
