chunk_id,doc_id,doc_type,chunk_idx,text,word_count,role
C1002_c0,C1002,case,0,"Bridge and Roof Company (India), Limited, and Others v Union of India and Others Supreme Court of India 11 September 1962 Petition No. 62 of 1962 The Judgment was delivered by : K. N. Wanchoo, J. 1. The short question raised in this writ petition under Art. 32 of the Constitution is whether production bonus is included within the term ""basic wages"" as defined in s. 2(b) of the Employees' Provident Funds Act, No. 19 of 1952, (hereinafter referred to as the Act Writ Petition 64 of 1962 (The Jay Engineering, Works Limited v. The Union of India 1962 Indlaw SC 311) was heard along with this petition. In that writ petition a further question arose as to the nature of the production bonus scheme in force in that company and parties have been given time to file additional. Affidavits in that connection. What we say therefore: in the present case as to reduction bonus generally may not be taken necessarily to apply to the particular scheme in the case of writ petition No. 64 of 1962. 2. The brief facts necessary for present purposes are these. Petitioner No. 1 (hereinafter' referred to as the Company) is a public limited company engaged in the manufacture of engineering goods, structural fabrication and rolling stock, and the Act applies to the Company. The Company has a production bonus scheme in force which provides for payment of production bonus over and above wages fixed by the major engineering award of 1958, published in the Calcutta gazette dated November 5, 1958, which governs 74 major engineering concerns in that region including the Company' That award is still in force and has fixed basic wages and dearness allowance on time rate basis for the entire major engineering industry. 3. In addition to basic wages and dearness allowance payable under the award, the Company has two production bonus schemes one for the hourly rated workers and the other for the rest. It is unnecessary to go into the details of the two schemes; but the main feature of the two schemes is that production bonus begins to be paid on certain rates specified in the two schemes when the output reaches 5,000 tons per year and that no production bonus is paid when the output is less than 5,000 tons per year. It may be added that the scheme relating to the hourly rated workers has been revised from January 1, 1962 and the main feature of this revision is that the Scheme is now applicable to those workers on a quarterly basis. According to this revised scheme, production bonus begins when the output for the quarter reaches 1300 tons, and there is no production bonus if the output is below 1300 tons. In the case of other staff, the old scheme is still in force, though it is stated for the Company that negotiations are going on for revising the old scheme, presumably to bring it into line with the new scheme introduced for hourly rated workers since January 1, 1962. 4. We may now briefly refer",512,ISSUE
C1003_c4,C1003,case,4,"him and so forth. These go to the foundations of natural justice and would be struck down as illegal forthwith. It hardly matters whether this is because prejudice is then patent or because it is so abhorrent to well-established notions of natural justice that a trial of that kind is only a mockery of a trial and not of the kind envisaged by the laws of our land because either way they would be struck down at once. Other violations will not be so obvious and it may be possible to show that having regard to all that occurred no prejudice was occasioned or that there was no reasonable probability of prejudice. In still another class of case, the matter may be so near the border line that very slight evidence of a reasonable possibility of prejudice would swing the balance in favour of the accused. ... the Code is emphatic that 'whatever' the irregularity it is not to be regarded as fatal unless there is prejudice."" ""It is the substance that we must seek. Courts have to administer justice and justice includes the punishment of guilt just as much as the protection of innocence. Neither can be done if the shadow is mistaken for the substance and the goal is lost in a labyrinth of unsubstantial technicalities. Broad vision is required, a nice balancing of the rights of the State and the protection of society in general against protection from harassment to the individual and the risks of unjust conviction. Every reasonable presumption must be made in favour of an accused person; he must be given the benefit of every reasonable doubt. The same broad principles of justice and fair play must be brought to bear when determining a matter of prejudice as in adjudging guilt. But when all is said and done what we are concerned to see is whether the accused had a fair trial, whether he knew what he was being tried for, whether the main facts sought to be established against him were explained to him fairly and clearly and whether he was given a full and fair chance to defend himself. If all these elements are there and no prejudice is shown the conviction must stand whatever the irregularities whether traceable to the charge or to a want of one."" ""In adjudging the question of prejudice the fact that the absence of a charge, or a substantial mistake in it, is a serious lacuna will naturally operate to the benefit of the accused and if there is any reasonable and substantial doubt about whether he was, or was reasonably likely to have been, misled in the circumstances of any particular case, he is as much entitled to the benefit of it here as elsewhere; but if, on a careful consideration of all the facts, prejudice, or a reasonable and substantial likelihood of it, is not disclosed the conviction must stand; also it will always be material to consider whether objection to the nature of the charge, or a total want of one, was taken at an",512,ISSUE
C1003_c5,C1003,case,5,"on a careful consideration of all the facts, prejudice, or a reasonable and substantial likelihood of it, is not disclosed the conviction must stand; also it will always be material to consider whether objection to the nature of the charge, or a total want of one, was taken at an early stage But these are matters of fact which will be special to each different case and no conclusion on these questions of fact in any one case can ever be regarded as a precedent or a guide for a conclusion of fact in another, because the facts can never be alike in any two cases however alike they may seem. There is no such thing as a judicial precedent on facts though counsel, and even judges, are sometimes prone to argue and to act as if there were."" 11. In Gurbachan Singh v. State of Punjab [AIR 1957 SC 623 1957 Indlaw SC 181] following Willie Slaney, this Court held: ""In judging a question of prejudice, as of guilt, courts must act with a broad vision and look to the substance and not to technicalities, and their main concern should be to see whether the accused had a fair trial, whether he knew what he was being tried for, whether the main facts sought to be established against him were explained to him fairly and clearly and whether he was given a full and fair chance to defend himself."" 12. In Shamnsaheb M. Multtani vs. State of Karnataka - 2001 (2) SCC 577 2001 Indlaw SC 19904, this Court considered the meaning of the expression ""failure of justice"" occurring in s. 464 of Cr.PC. This Court held thus : ""The crux of the matter is this : Would there be occasion for a failure of justice by adopting such a course as to convict an accused of the offence under section 304-B IPC when all the ingredients necessary for the said offence have come out in evidence, although he was not charged with the said offence? a conviction would be valid even if there is any omission or irregularity in the charge, provided it did not occasion a failure of justice....The criminal court, particularly the superior court should make a close examination to ascertain whether there was really a failure of justice or whether it is only a camouflage. One of the cardinal principles of natural justice is that no man should be condemned without being heard, (audi alteram partem). But the law reports are replete with instances of courts hesitating to approve the contention that failure of justice had occasioned merely because a person was not heard on a particular aspect. However, if the aspect is of such a nature that non-explanation of it has contributed to penalizing an individual, the court should say that since he was not given the opportunity to explain that aspect there was failure of justice on account of non-compliance with the principle of natural justice."" 13. The above principles are reiterated in several decisions of this Court, including State of West Bengal vs. Laisal",512,ISSUE
C1003_c6,C1003,case,6,"the court should say that since he was not given the opportunity to explain that aspect there was failure of justice on account of non-compliance with the principle of natural justice."" 13. The above principles are reiterated in several decisions of this Court, including State of West Bengal vs. Laisal Haque - AIR 1989 SC 129 1988 Indlaw SC 706, State of A.P. vs. Thakkidiram Reddy - 1998 (6) SCC 554 1998 Indlaw SC 1286, Dalbir Singh v. State of UP [2004 (5) SCC 334 2004 Indlaw SC 247], Dumpala Chandra Reddy vs. Nimakayala Bali Reddy - 2008 (8) SCC 339 2008 Indlaw SC 1064 and Sanichar Sahni vs. State of Bihar - 2009 (7) SCC 198 2009 Indlaw SC 736. 14. The following principles relating to sections 212, 215 and 464 of the Code, relevant to this case, become evident from the said enunciations: (i) The object of framing a charge is to enable an accused to have a clear idea of what he is being tried for and of the essential facts that he has to meet. The charge must also contain the particulars of date, time, place and person against whom the offence was committed, as are reasonably sufficient to give the accused notice of the matter with which he is charged. (ii) The accused is entitled to know with certainty and accuracy, the exact nature of the charge against him, and unless he has such knowledge, his defence will be prejudiced. Where an accused is charged with having committed offence against one person but on the evidence led, he is convicted for committing offence against another person, without a charge being framed in respect of it, the accused will be prejudiced, resulting in a failure of justice. But there will be no prejudice or failure of justice where there was an error in the charge and the accused was aware of the error. Such knowledge can be inferred from the defence, that is, if the defence of the accused showed that he was defending himself against the real and actual charge and not the erroneous charge. (iii) In judging a question of prejudice, as of guilt, the courts must act with a broad vision and look to the substance and not to the technicalities, and their main concern should be to see whether the accused had a fair trial, whether he knew what he was being tried for, whether the main facts sought to be established against him were explained to him fairly and clearly, and whether he was given a full and fair chance to defend himself. 15. The respondent relied upon the decision of this court in State of Himachal Pradesh v. Geeta Ram [2000 (7) SCC 452 2000 Indlaw SC 408]. In that case the respondent was chargesheeted for an offence u/s. 376 IPC and s. 3 of the Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Act, 1989. The Magistrate committed the case to Sessions Court which was specified as a special court under the Act. 16. The special court framed a charge only",512,ISSUE
C1005_c2,C1005,case,2,"he agreed with Ramaswami, J., in the result on the ground of the violation of the principles of natural justice.The State of Bihar moved the High Court for leave to appeal to this Court. The application for leave under Art. 132(1) of the Constitution was heard by S. K. Das, C.J. (as the then was) and Kanhaiya Singh, J. The High Court, by its order dated 8 August, 1955, refused to grant the leave on the ground that the case had not really been determined on an interpretation of Art. 311 of the Constitution, but substantially on the ground that there had been an infringement of the principles of natural justice. The State of Bihar thereafter moved this Court for special leave to appeal, which was granted on 28 November, 1955. That is how the matter had come before this Court. 4. The main point in controversy before us turns on the question whether the provisions of Art. 311(2) of the Constitution are attracted to the case of a public servant who was still a probationer and had not been confirmed in a substantive post. The question whether there had or had not been a violation of the principles of natural justice, which was the basis of the decision in the High Court as indicated above, was not raised before us. 5. The judgment of the High Court could be allowed to rest on that basis alone, but as it appears that this Court granted special leave to determine the controversy based upon the interpretation of Art. 311(2) of the Constitution, we think it necessary to express our opinion on that part of the case. The decision of this Court in Parshotam Lal Dhingra v. Union of India 1958 (1) LLJ 544 1957 Indlaw SC 103 had not been given till then. If that decision were in existence then, perhaps the special leave would not have been granted. In our opinion, the controversy raised in this case is completely covered by the decision of the Constitution Bench of this Court in Dhingra case 1957 Indlaw SC 103 (supra.) The main question for decision in that case was whether the appellant Dhingra had been reduced in rank by way of punishment as a result of the order of the General Manager of the Railway. Though, in that case, this Court decided that the order impugned had got that effect, this Court went elaborately into all the implications of the service conditions, with particular reference to the Railway Service Rules and the Constitutional provisions contained in S.240 of the Government of India Act, 1935, and Art. 311 of the Constitution. The elaborate discussion in that judgment has reference to all stages of employment in the public services including temporary posts, probationers, as also confirmed officers. In so far as those observations have a bearing on the termination of service or discharge of a probationary public servant, they may be summarized as follows: 1. Appointment to a post on probation gives to the person so appointed no right to the post and his service may",512,ISSUE
C101_c61,C101,case,61,"State Legislature could not enact appropriate statutory provisions by exercise of its legislative power under Entry 33 of List III. Bhagwati, J., speaking for the Constitution Bench, placing reliance on the observations of Sulaiman J., in the decision of the Federal Court in Shyamakant Lal vs. Rambhajan Singh [(1939) F.C.R. 188, 212] extracted, with approval, the following passage from the said decision at page 427 of the report as under : 91. ""When the question is whether a Provincial legislation is repugnant to an existing Indian law, the onus of showing its repugnancy and the extent to which it is repugnant should be on the party attacking its validity. There ought to be a presumption in favour of its validity, and every effort should be made to reconcile them and construe both so as to avoid their being repugnant to each other; and care should be taken to see whether the two do not really operate in different fields without encroachment. Further, repugnancy must exist in fact, and not depend merely on a possibility. Their Lordships can discover no adequate grounds for holding that there exists repugnancy between the two laws in districts of the Province of Ontario where the prohibitions of the Canadian Act are not and may never be in force: (Attorney-General for Ontario v. Attorney-General for the Dominion)"" Thereafter the following pertinent observations were made by Bhagwati, J., speaking for the Constitution Bench : ""In the instant case, there is no question of any inconsistency in the actual terms of the Acts enacted by Parliament and the impugned Act. The only questions that arise are whether Parliament and the State Legislature sought to exercise their powers over the same subjectmatter or whether the laws enacted by Parliament were intended to be a complete exhaustive code or, in other words, expressly or impliedly evinced an intention to cover the whole field."" and thereafter Section 18-G of the I.D.R. Act was considered and it was held as under : ""Even assuming that sugarcane was an article or class of articles relatable to the sugar industry within the meaning of Section 18-G of Act LXV of 1951, it is to be noted that no order was issued by the Central Government in exercise of the powers vested in it under that section and no question of repugnancy could ever arise because, as he has noted above, repugnancy must exist in fact and not depend merely on a possibility. The possibility of an order under Section 18-G being issued by the Central Government would not be enough. The existence of such an order would be the essential prerequisite before any repugnancy could ever arise."" 92. The aforesaid decision of the Constitution Bench, therefore, clearly repels the submission of learned senior counsel Shri Shanti Bhushan that merely because there is a possibility of issuance of a Control Order under S. 30 of the Tea Act by the Central Government, the field is fully occupied in connection with fixation of the maximum and minimum prices of packed tea to be charged by manufacturer or dealer,",512,ISSUE
C101_c70,C101,case,70,"market area. These transactions of sale of packed tea, as discussed by us earlier, would squarely attract the applicability of the Market Act as they take place within the market area governed by the Market Act. 102. As seen earlier, manufacturing activities concerning this packed tea has no relevance for arriving at an appropriate answer to this question. Contention raised in para 2 of the written submissions is also besides the point, whether other States levy market fee or not is not at all relevant. The Bihar legislation may be a pioneer in this field. The short question is whether the Market Act can govern the transaction of sale of packed manufactured tea by the appellant within the market areas in the State of Bihar ? So far as this question is concerned, the aforesaid contention can be of no assistance to the appellant. Contention in para 3 of the written submissions about the basic object of the Bihar Market Act and whether it should ensure only the protection to the grower of the agricultural produce within the market area stands repelled by a Constitution Bench Judgment of this Court to which a detailed reference has been made in the earlier part of this judgment. Para 4 of the written submissions deals with various statutory provisions of the Tea Act of 1953 and the relevant Control Orders thereunder. As discussed earlier, the schemes of the Tea Act and the Control Orders do not cover the field carved out by the Market Act for bringing within its sweep transactions of sale of agriculture produce encompassed by the wider definition thereof under that Act insofar as such produce is sold within the market area to which the Market Act applies. It is difficult to appreciate the contention in para 8 of the written submissions to the effect that the State had not applied its mind in bringing tea within the sweep of the Market Act in exercise of its power under S. 39 of the Act. As discussed earlier, this contention is devoid of any substance. Contention in para 9 of the written submissions is also devoid of any merit. It is not the case of the appellant that the sale of manufactured tea in Bihar markets within the market area of the concerned market committee requires the appellant to bear the burden of the market fee. 103. It is obvious, as seen earlier, that charge of market fee is on the buyer of branded tea and not on the seller thereof, like the appellant. The purchasers of branded market tea manufactured by the appellant who purchase the said produce in market areas governed by the Market Act have made no grievance in this connection. Even otherwise, as seen earlier, once the wide definition of ""agricultural produce"" as found in the Market Act governs such sale transactions and when S. 15 of the Act covers such transactions, the charge u/s. 27 would obviously get settled on these transactions. As a logical corollary thereof, even if the appellant may have to act as a collecting",512,ISSUE
C1018_c1,C1018,case,1,"Hikayat was set on fire and three of his houses were burnt. The Sessions Judge acquitted the accused. 6. The High Court found on the evidence that a number of sword injuries on Nagendra Singh and some on Rajendra Singh were inflicted by Nanhu Kahar son of Hikayat. 7. The High Court found that the house of the accused stood adjacent to the north of the maize field of Nagendra Singh. Nagendra Singh asserted his possession of the maize field with respect to 27 Kathas in the year 1963. Accused No. 1 relied on written statement filed in Title Suit No. 133 of 1960 in which the accused claimed to be in possession of the self same land. The High Court found that dispute was going on with regard to the plot of land before the date of occurrence between Nagendra Singh and the accused. 8. The High Court found that it was not possible on the materials on record to come to a definite conclusion that the land was actually in possession of Nagendra Singh or that he had grown the maize crop. Therefore, the High Court held that the accused had a right of private defence when they found that their maize crop was being cut away. 9. In that view of the matter the only question is whether the right of private defence was exceeded. The injuries sustained by the accused were minor injuries. There was nothing to show that infliction of serious injuries on Nagendra Singh and Rajendra Singh was necessary in defence of property of defence of person. There was evidence of Nagendra Singh himself that some of the sword blows were inflicted on him even after he fell down on getting the blows. That was not challenged in cross-examination. 10. The High Court held that the right of private defence was exceeded and convicted the appellant. We do not see any reason to interfere with this conviction. There is no merit in this appeal. The appeal fails and is dismissed. Appeal Dismissed.",338,ISSUE
C102_c0,C102,case,0,"Punjab National Bank, Limited v Their Workmen Supreme Court of India 6 December 1960 C.A. No. 450 of 1959, The Judgment was delivered by: GAJENDRAGADKAR, J. 1. This appeal by special leave arises out of an industrial dispute between the appellant, the Punjab National Bank, Ltd., and the respondents, its workmen. On 17 June, 1958 the Central Government referred his dispute for adjudication to the Central Industrial Tribunal, Delhi, constituted under S.7A of the Industrial Disputes Act XIV of 1947; this reference was made under S. 10(1)(d) of the said Act. The question referred for adjudication is thus stated in the order of reference : ""Whether the Punjab National Bank, Ltd., Delhi, is justified in imposing a condition that the persons appointed as officers grade II either by direct recruitment or by promotion shall be governed by the rules of the bank as applicable to officers in respect of scales of pay and other conditions of service and not by those of the award of the All-India Industrial Tribunal (Bank Disputes), as modified by S. 3 of the Industrial Disputes (Banking Companies) Decision Act, 1955 (41 of 1955), and if not, to what relief are such persons entitled."" 2. The industrial tribunal heard both the parties, considered the evidence led by them in support of their respective contentions and has made an award in favour of the respondents. In dealing with the reference the tribunal framed two issues. The first issue was whether the appellant was justified in issuing circular No. 249 dated 18 April, 1957 (Ex. M. 4) and thereby imposing the conditions contained therein on its employees, and whether such a circular was opposed to law as contended by the respondents. The second issue was whether in view of the subsequent circular No. 336 (Ex M.1) issued by the appellant on 26 May, 1958 the respondents can have no grievance at all in the matter. Both these issues have been answered by the tribunal substantially in favour of the respondents. The tribunal has held that though the appellant may be at liberty to impose and conditions it liked on new entrants in its service, it could not impose any conditions in its pre-existing staff which were inconsistent with the Bank award which was then in operation; that is why the tribunal has set aside the promotions made by the appellant from the existing employees to grade II under the relevant circulars and directed the appellant to make promotions to the cadre of officer grade II from among its employees according to the procedure prescribed by the said Bank award. 3. It is against this award that the appellant has come to this Court by special leave.The appellant which is an important banking company carries on its banking operations through its 350 odd branches situated all over the country. It employs more than 7, 000 workmen in its several offices. In the present appeal we are concerned with its supervisory staff whose strength approximately is 824. As we will presently point out, the present industrial dispute is the culmination of longstanding",512,ISSUE
C1031_c0,C1031,case,0,"Mahant Sri Srinivas Ramanuj Das v Agricultural Income Tax Officer, Puri, and Another Supreme Court of India 12 September 1978 C.A. No. 1770 of 1972 The Judgment was delivered by : V. D. Tulzapurkar, J. 1. The short question raised in this appeal by special leave is whether s. 8(1) of the Orissa Agricultural Income Tax Act, 1947 suffers from the vice of discrimination and as such hit by Art. 14 of theConstitution? 2. The appellant is the Mahant of Emar Math at Puri, which is an ancient public Hindu Religious Trust. The trust owns considerable endowed properties both agricultural and non- agricultural. After the passing of the Orissa Agricultural Income Tax Act, 1947 (hereinafter called 'the Act'), the appellant as a trustee has been assessed in the status of an 'individual' under the Act for the assessment -years 1948-49 to 1967-68 in respect of the income derived from agricultural lands owned by the trust. It appears that these assessments have been made after granting the exemption under s. 8(1) of the Act which provides that ""any sum derived from land held under such trust and actually spent for the said purposes (charitable or religious purposes) shall not be included in the total agricultural income of such assessee"". By a Writ Petition No. 48 of 1968, filed under Arts. 226 and 227 of the Constitution, the appellant challenged the constitutional validity of s. 8(1) of the Act under which the assessments were made principally on the ground that s. 8(1) was discriminatory and hit by Art. 14 of the Constitution inasmuch as under the said provision in respect of non- Muslim public trusts created for religious or charitable purposes the exemption contemplated therein was confined to such agricultural income as was actually spent for the public purposes of charitable or religious nature while in the case of Muslim trusts (wakfs) the entire agricultural income, whether spent for charitable or religious purposes or not, was exempt from the operation of the Act under s. 9 of the Act. The contention was refuted on behalf of the respondents. On an examination of the provisions of ss. 8 and 9 in the context of the scheme of the Act the Orissa High Court negatived the said contention and dismissed the Writ Petition on November 30, 1971. The appellant has come up in appeal to this Court Since counsel for the appellant raised the self-same contention before us in support of the appeal it will be desirable to set out the provisions of ss. 8 and 9 of the Act in order to appreciate his submissions on the point. S. 8 runs thus:- ""8. Exemption of charitable or religious trusts:- (1) Where the assessee is a trustee and the trust under which he holds the property is a trust, created for public purposes of a charitable or religious nature, any sum derived from land held under such trust and actually spent for the said purposes, shall not be included in the total agricultural income of such assessee. (2) In this section purposes of a charitable nature",512,ISSUE
