chunk_id,doc_id,doc_type,chunk_idx,text,word_count,role
C10_c1,C10,case,1,"the said suit for specific performance was also pending in the City Civil Court, Madras. 4. On 17th of February, 1986 this Court dismissed the special leave petition after notice but directed that the decree for eviction would not be executed till 17.11.86. It was observed by this Court that the petitioner would be at liberty to file a writ petition u/art. 32 of the Constitution, if so advised, challenging the validity of s. 14(1)(b) of the Tamil Nadu Rent Act as mentioned on behalf of the petitioner. The petitioner filed this writ petition challenging the validity of s. 14(1)(b) and s. 16(2) of the Tamil Nadu Rent Act on the ground that these were arbitrary, discriminatory, unreasonable and unconstitutional. The petitioner contends in this writ petition that consequently the eviction order passed under s. 14(1)(b) and confirmed in appeal is also illegal. The aforesaid several of the writ petitions are on this issue. 5. The main ground of attack on this aspect seems to be that while other Rent Acts in case of eviction for demolition permit and direct that after reconstruction the tenant should be inducted as tenant or given the opportunity to have the same space in the reconstructed building, in the instant Act no such option is given and no such obligation imposed upon the landlord and as such the impugned provision is illegal as being discriminatory against the tenant. In order to examine the various aspects on this contention, it will be necessary to examine in detail the relevant provisions of the Act. It should be borne in mind, however, that this was an Act passed to amend and consolidate the law relating to the regulation of the letting of residential and non-residential buildings and the control of rents of such buildings and the prevention of unreasonable eviction of tenants in the State of Tamil Nadu. S. 14 of the Tamil Nadu Rent Act states as follows:- "" 14. Recovery of possession by landlord for repairs or for reconstruction. (1) Notwithstanding anything contained in this Act, but subject to the provisions of ss. 12 and 13, on an application made by a landlord, the Controller shall, if he is satisfied- (a) that the building is bona fide required by the landlord for carrying out repairs which cannot be carried out without the building being vacated; or (b) that the building is bona fide required by the landlord for the immediate purpose of demolishing it and such demolition is to be made for the purpose of erecting a new building on the site of the building sought to be demolished, pass an order directing the tenant to deliver possession of the building to the landlord before a specified date. (2) No order directing the tenant to deliver possession of the building under this section shall be passed- (a) on the ground specified in cl. (a) of subsection (1), unless the landlord gives an undertaking that the building shall, on completion of the repairs, be offered to the tenant, who delivered possession in pursuance of an order under sub-s.",512,ARG_PETITIONER
C1076_c1,C1076,case,1,"further came to hold that the claim for regularisation of 425 N.M.R. employees is justified and they would not be retrenched and the project authorities through the Government of India should find out the ways and means to regularise them either under the Central Government or the concerned state Governments or under Public Sector Undertakings of the Central Government. When the award of the Tribunal was assailed in the High Court by moving an application u/art. 226 of the Constitution, the High Court came to the conclusion that award does not contain any error of law which could be corrected by issuance of writ of certiorari in exercise of power u/art. 226 of the Constitution and accordingly the writ petition filed by the management stood dismissed. 6. Mr. V.R.Reddy, learned Additional Solicitor General appearing for the appellant contends that the rehabilitation project undertaken by the Government of India to rehabiliate the refugees from Pakistan was in discharge of the sovereign function of the Government and, therefore, cannot be held to be an industry and consequently neither the reference was competent nor the Tribunal had any jurisdiction to examine the demands raised by the employees union. Having examined the aforesaid contention of Mr.Reddy, learned Additional Solicitor General and having scrutinised the materials on record and the nature of duties discharged by the workers and in view of the decision of this Court in Bangalore Water Supply case it is difficult for us to accept the contention raised by learned Additional Solicitor General. Bearing in mind the dominant nature of the activities of the project and the nature of duties discharged by the workers in the project we are of the considered opinion that the Dandakaranya Project is an industry within the meaning of s. 2(i) of the Industrial Disputes Act and the conclusion of the Tribunal in this respect is unassailable. 7. Mr. Reddy, learned Additional Solicitor General then contended that the project was for the limited purpose of rehabilitating the refugees from Pakistan and the said purpose having been achieved and the project itself having been wound up and its assets and liabilities having been passed on to the State of Orissa and State of Madhya Pradesh there do not exist regular posts with the project authorities so as to consider the question of regularisation of 425 N.M.R. workers and therefore, the ultimate conclusion of the Tribunal on this score is wholly unsustainable in law. 8. Ms. Indira Jaisingh, learned senior counsel appearing for the respondent workers, on the other hand argued with vehemence that these N.M.R. workers having spent their major part of life in serving under the project, it is the constitutional obligation of the project authorities or the Government of India to get these workers absorbed in some departments of the Government of India or in any Public Sector Undertakings and, therefore, the impugned direction of the Tribunal is wholly justified. The learned senior counsel further urged that even in the project itself there exist sufficient vacancies against which these N.M.R. workers could be regularised and the appellant therefore,",512,ARG_PETITIONER
C1111_c1,C1111,case,1,"behalf of the State of Madhya Pradesh, at the outset, raised a preliminary objection to the maintainability of this petition because according to him the dismissal of the petition of the detenu by the High Court under Art. 226 operates as yes judicata. This contention is opposed to the view taken by this Court. In Ghulam Sarvar v. Union of India and others, ([1967] 2. S.C.R. 271 1966 Indlaw SC 141) a Constitution Bench held that the order of the High Court does not operate as res judicata. We are not here concerned with the different reasons given, one by Subbarao, C.J. Hidayatullah, Sikri, and Shelat, JJ. and the other by Bachawat, J. for arriving at this conclusion except to state that the majority was of the view that it does not operate as res judicata as it is not a judgment and also because the principle is inapplicable to a fundamentally lawless order which this Court has to decide on merits. Bachawat, J. while substantially agreeing with this view thought that the order of the High Court is not a judgment and the previous dismissal of such a petition by the High Court is only one of the matters taken into consideration under O.35 rr. 3 and 4 of the Supreme Court Rules before issuing a rule nisi. The petitioner, however, would not have a right to move this Court under Art. 32 more than once on the same facts. 4. In Writ Petitions Nos. 227 and 228 of 1969 decided on September 16, 1969, a similar view as that expressed by the majority was expressed, viz., that there is no bar of res judicata to a petition under Art. 32 in a case where earlier the High Court had dismissed the petition under Art. 226. In view of this legal position, we. reject the preliminary objection. The learned advocate for the petitioner contends inter alia that since the State has not in its counter affidavit denied the allegation made in the petition nor has it stated when it is that the representation of the petitioner was considered and dismissed, the detention is illegal inasmuch as the right to make a representation as well as to have it considered and determined is a valuable right implicit in cl. (5) of Art. 22. As the law relating to preventive detention, which has to conform to the limits imposed in Art. 22, is a restriction on the fundamental right of the freedom of a citizen, it has necessarily to be construed in a manner which will not restrict that right to any extent greater than is necessary to effectuate the object of that provision. Cl. (5) of Art. 22 prescribes that ""When any person is detained in pursuance of an order made under any law providing for preventive detention, the authority making the order shall, as soon as may be, communicate to such person the grounds on which the order has been made and shall afford him the earliest opportunity of making representation against the order."" 5. The words ""afford him the earlier",512,ARG_PETITIONER
C1123_c0,C1123,case,0,"Vijay Kumar Dharna Alias Koka v Union of India and Others Supreme Court of India 9 February 1990 Cr.A. No. 73 of 1990 (From the Judgment and Order Dt. 12 December 1989 of the Delhi High Court in C.W.P. No. 537 of 1989) The Judgment was delivered by: AHMADI, J. Special leave granted. 1. By an order dated July 13, 1989 passed u/s. 3 (1) of the Conservation of Foreign Exchange and Prevention of Smuggling Activities Act, 1974 (hereinafter called 'the Act'), the appellant was detained with a view to preventing him from abetting the smuggling of goods. The appellant challenged his detention by a writ petition filed u/art. 226 of the Constitution in the High Court of Delhi which, however, came to be dismissed on December 12, 1989. The appellant has, therefore, approached this Court by special leave which we have granted. 2. The learned counsel for the appellant submitted that the appellant who knows the Gurmukhi script only was supplied with copies of the detention order the grounds of detention in that language along with the detention order and grounds of detention in English. He submitted that the detention order and the grounds of detention in Gurmukhi are at variance apart from their being at variance with the English version also. 3. According to him because of this discrepancy he was unable to effectively represent against the impugned detention order. There is considerable force in this contention. 4. In the Gurmukhi version of the detention order it was stated that the detention order had become necessary 'with a view to preventing him from smuggling goods and from abetting the smuggling of goods'. It is, therefore, clear that according to the Gurmukhi version the detenu was taken in detention u/cls. (i) and (ii) of S. 3(1) of the Act. However, when we turn to the grounds of detention the detaining authority records his satisfaction as under: ""I am satisfied it is necessary to detain you under COFEPOSA Act, 1974 with a view to preventing you from concealing, transporting smuggled goods as well as dealing in smuggled goods."" This satisfaction clearly reflects the grounds contained in cls. (iii) and (iv) of S. 3(1) of the Act. The above satisfaction does not speak of smuggling of goods or abetting the smuggling of goods which are the grounds found in the Gurmukhi version of the detention order. 5. There is, therefore, considerable force in the contention urged by the learned counsel for the appellant that on account of this variance the detenu was not able to effectively represent his case before the concerned authorities, In fact according to him the appellant was confused whether he should represent against his detention for smuggling of goods and/or abetting the smuggling of goods or for engaging in transporting and concealing smuggled goods and/or dealing in smuggled goods. Besides the English version of the detention order was only for abetting the smuggling of goods. The satisfaction recorded in the Gurmukhi version of the grounds for detention is not consistent with the purpose for detention found in the detention",512,ARG_PETITIONER
C1125_c0,C1125,case,0,"State of Gujarat and Another v Karshanbhai K. Rabari and Others Supreme Court of India 18 July 2006 Appeal (Civil) 3018 of 2006 The Judgment was delivered by : Arijit Pasayat, J. Leave granted. 1. The State of Gujarat and Superintending Engineer, Capital Project Circle, Gandhi nagar, Gujarat, question legality of the judgment rendered by a Division Bench of the Gujarat High Court . By the impugned judgment the Division Bench set aside the judgment of a learned Single judge who had dismissed the writ petition filed by the respondents. Learned Single Judge held that the respondents were daily workers who were temporarily appointed for transitory work on a work charge basis and could not be treated at par with regular employees who were appointed on the basis of Recruitment Rules. 2. The Division Bench by the impugned judgment held that the respondents were entitled to all the benefits available to permanent employees of the State Government under the Government Resolution dated 17.10.1988 and no order diluting/reversing the same can/could be passed by any other Authority/Functionaries of the State Government. Accordingly the Letters Patent Appeal filed by the respondents was allowed and the Communication/Order dated 12.8.1991 by the State Government was quashed. 3. It was held that benefits apart from those clearly mentioned in the resolution dated 17.10.1988 like leave travel concession, leave increment, various advances, allotment of Government quarter were admissible to daily wagers covered under the said resolution. Learned counsel for the appellant submitted that the view expressed by the Division Bench is clearly contrary to what has been stated by a Constitution Bench of this Court in Secretary, State of Karnataka and Others v. Uma devi and Others. [2006 (4) SCC 1 2006 Indlaw SC 125]. It was further submitted that the Division Bench erroneously held that other benefits apart from those expressly mentioned in the Resolution dated 17.10.1988 were admissible as the expression ""etc""(etcetera) has been mentioned. It was submitted that the view expressed in this Court is clearly contrary to what has been stated in Union of India and Another v. Manu Dev Arya [2004(5) SCC 232]. 2004 Indlaw SC 333 4. Learned counsel for the respondents on the other hand submitted that the High Court has adopted the view necessary to be taken in the case of poor employees who have been rendering services for a very long period. 5. We find that the case of the parties has to be considered in the light of what has been stated by this Court in Uma Devi's case 2006 Indlaw SC 125 (supra). It has been inter alia observed by the Constitution Bench as follows: ""Even at the threshold, it is necessary to keep in mind the distinction between regularization and conferment of permanence in service jurisprudence. In State of Mysore v. S.V. Narayanappa AIR 1967 SC 1071 1966 Indlaw SC 70 this Court stated that it was a mis-conception to consider that regularization meant permanence. In R.N. Nanjundappa v. T. Thimmiah and Another. [1972 (1) SCC 4091971 Indlaw SC 281], this Court dealt with an argument",512,ARG_PETITIONER
C1132_c3,C1132,case,3,"to withdraw the compensation payable to them without prejudice to their rights in the writ petition. It will be noticed that the order dated 18the December, 1974 was passed during the pendency of the writ petition No. 3465 of 1973 and the petitioners in that writ petition withdrew the amount of compensation after express permission of the High Court so that their rights in the writ petition are not prejudiced in any way. The acceptance of compensation under protest was not done by the appellant with a view to safeguard his right to challenge the acquisition itself but to safeguard his right to require the matter being referred by the Collector for determination of the Court in relation to the matters mentioned in Section 18 of the Land Acquisition Act. It is clear from the provisions of Section 18 of the Land Acquisition Act that the person interested, in order to enable him to seek the remedy of reference can do so only if he does not accept the Award. In order to show that the person concerned had not accepted the Award the claimants accept the compensation only under protest because once the compensation awarded in pursuance of the Award is accepted without protest the person concerned may lose his right of a reference for various matters mentioned in Section 18 of the Land Acquisition Act. It is clear in the present case that the appellant had not challenged the 'acquisition and it was not shown to us that he withdrew the compensation in pursuance of any court to safeguard any other rights. It is also clear from the order of the learned Division Bench dismissing the writ petition, filed by the present appellant, of what contention was urged by him before them. 2. Learned counsel for the appellant submitted that this was not the contention urged by him before the High Court. We are afraid such a plea cannot be permitted in the present appeal when the order was pronounced in the open court and the order was naturally to be pronounced on the submissions made before the learned Division Bench. If the appellant had any such grievance, he should have approached the Division Bench with such a plea. Thus, there is no merit in the appeal and it is dismissed. Parties are, however, left to bear their own costs of the present proceedings. Appeal dismissed",398,ARG_PETITIONER
C1152_c1,C1152,case,1,"where the proceedings have been maliciously instituted with an ulterior motive for wreaking vengeance on the accused and with a view to spite them due to private and personal grudge. Reference has been made to the matrimonial case stating that the same was filed earlier to the lodging of the FIR. In support of the appeal learned counsel for the appellant submitted that the parameters for exercise of jurisdiction u/s. 482 Cr.P.C. have not been kept in view by learned Single Judge, further he lost sight of the fact that the Matrimonial Case No. 49 of 2000 was dismissed long before the disposal of the case before the High Court. The matrimonial suit was dismissed on 12.10.2004 whereas the impugned judgment has been passed on 19.12.2005. 4. There is no appearance on behalf of the respondents in spite of service of notice. 5. Exercise of power u/s. 482 Cr.P.C. in a case of this nature is the exception and not the rule. The section does not confer any new powers on the High Court. It only saves the inherent power which the Court possessed before the enactment of Cr.P.C. It envisages three circumstances under which the inherent jurisdiction may be exercised, namely, (i) to give effect to an order under Cr.P.C., (ii) to prevent abuse of the process of court, and (iii) to otherwise secure the ends of justice. It is neither possible nor desirable to lay down any inflexible rule which would govern the exercise of inherent jurisdiction. No legislative enactment dealing with procedure can provide for all cases that may possibly arise. The courts, therefore, have inherent powers apart from express provisions of law which are necessary for proper discharge of functions and duties imposed upon them by law. That is the doctrine which finds expression in the section which merely recognises and preserves inherent powers of the High Courts. All courts, whether civil or criminal possess, in the absence of any express provision, as inherent in their constitution, all such powers as are necessary to do the right and to undo a wrong in the course of administration of justice on the principle of ""quando lex aliquid alicui concedit, concedere videtur id sine quo res ipsa esse non potest"" (when the law gives a person anything, it gives him that without which it cannot exist). While exercising the powers under the section, the court does not function as a court of appeal or revision. Inherent jurisdiction under the section, though wide, has to be exercised sparingly, carefully and with caution and only when such exercise is justified by the tests specifically laid down in the section itself. It is to be exercised ex debito justitiae to do real and substantial justice for the administration of which alone the courts exist. Authority of the court exists for advancement of justice and if any attempt is made to abuse that authority so as to produce injustice, the court has the power to prevent abuse. It would be an abuse of process of the court to allow any action which would result",512,ARG_PETITIONER
C1192_c1,C1192,case,1,"solemnized in village-Doomar. Shrilal (PW7) was working in the Pangat (community feast) at the residence of one Komal Kachhi. He had deputed his son deceased Daulat to render service in the marriage ceremony organized at the residence of one Balram Ahir. At about 3:00 p.m., when the guests were taking meals at the residence of Bairam, Al called Daulat through Narayan Singh to a place near Mata ki Madiya (place of worship of the Goddess). Al and A2 gave Kharerua (piece of wood used in bullock cart) blows on Daulat's head. He fell down and was rendered unconscious. His younger brother Harlal (PW8) immediately went to the house of Komal Kachhi and informed his father Shrilal (PW7) about the incident. Shri and his wife Phoolabai rushed to the spot, where he was also assaulted by Al and A2 with Kharerua. A3 & A4 wielded lathies on his wife Phoolabai and his younger son Harlal was also struck with lathies by A5 and A8."" ""3.3. Parents and brothers of unconscious Daulat immediately took him to the police station, where Shrilal lodged the first information report (Ex-P/7) Thereupon, a case u/ss. 294 341 & 323 read with S. 34 IPC was registered. Daulat and other injured namely, Shrilal, Phoolabai and Harlal were sent to the PHC Bankhedi for medical examination. Dr. R.C. Agrawal (PW 15), after examining Daulat, referred him to the District hospital, Hoshangabad for admission and treatment and also advised radiological examination of the injury found on the scalp. Pursuant to his advice, Daulat was taken to the District Hospital at Hoshangabad where he succumbed to the injuries on 20.4.1988."" ""3.4. After inquest proceeding, the dead body of Daulat was sent for post-mortem that was conducted by Dr. Ashok Kumar Tiwari (PW14). During investigation, the accused were arrested and at their instance respective weapons were recovered. One white shirt worn by the deceased at the time of incident was also recovered and seized. All these articles were sent to the FSL, Sager, along with the ordinary and blood stained soil seized from the spot for chemical examination. Observing bloodstains on all these articles excepting the ordinary earth seized from the spot, the Chemical Examiner forwarded the exhibits to Serologist for further examination. However, the Serologist could only determine presence of human blood on the shirt and the blood stained earth seized from the spot."" ""3.5. The trial Court as noted above convicted A-2 Ishwar and A-4 the present appellant for offence punishable u/ss. 302 and 323 IPC respectively for their individual acts and sentenced them as indicated above. No appeal was filed by A-4 Komal against his conviction. Appeal was filed by State before High Court. According to the stand of State before the High Court, the true parameters of S. 149 IPC were not kept in view. The High Court accepted the stand and directed conviction as noted above."" 4. In support of the appeal, learned counsel for the appellant submitted that the High Court having noted at one place that there was no common object, the question of convicting the",512,ARG_PETITIONER
C1199_c2,C1199,case,2,"Ex. A-l and Ex. A-2 were genuine and that Ex.A-1 & Ex. A-2 were not nominal and the learned Judge thus disagreed with the finding of the Appellant Tribunal. So far as the other two transactions are concerned, agreeing with the view of the Appellate Tribunal that they were genuine it was held that all these transactions, even if they might have been entered into in anticipation of and with a view to avoiding any provisions of the Ceiling law, they had to be excluded u/s. 7(1) of the Act they being true transactions. For coming to that conclusion reliance was placed by learned Single Judge of the High Court on two earlier decisions of the said High Court in Ch. Adisesha Reddy v. State of Andhra Pradesh reported in (1977) 2 A.P.L.J. 65 (short Notes) and Authorised Officer (L.R.) v. Venkata Narasayya reported in (1978) I.A.L.T. 112. In other words, accord-ing to learned Single Judge of the High Court as the transactions were genuine, nothing further was required to be done and had to be treated to have been entered into not with a view to defeating the provisions of the Ceiling Act. It is pertinent to extract the Actual reasoning of the learned Single Judge in this connection. ""It is true that in all Ac.48.52 cents of land in a span of 15 days in the months of September and October, 1971 was sold by the petitioner and his wife, may be that they have entered into the transactions in anticipation of and with a view to avoid any provision of any ceiling law that might be enacted in future. But that does not matter provided the transactions are true transactions."" 8. As a result, the revision petition was allowed and the Appellate Tribunal's decision was set a side and the decision rendered by the Land Reforms Tribunal, Kakinada was restored. It is this decision which has been brought on the anvil of scrutiny of this Court by the State of Andhra Pradesh in this appeal as noted earlier. 9. Learned counsel for the appellant submitted that considering the nature of revision u/s. 21 of the Act it was not for the High Court to reconsider the finding, of fact arrived at by the Appellate Tribunal in connection with the genuineness of these transactions and also regarding the object with which, they were entered into. It was submitted that the Appellate Tribunal had taken the view that out of the four transactions two transactions were genuine and the other two were not genuine but nominal yet all the four transactions were entered into during a period of fortnight by the declarant and his wife with a view to avoiding the operations of the Ceiling law. That it was a pure finding of fact based on evidence led by the declarant before the Land Reforms Tribunal. That there were no such clear recitals in the sale deeds that the transactions were entered into with a view to utilise the sale consideration raised from them for constructing a house at Kakinada. Hence,",512,ARG_PETITIONER
C1294_c2,C1294,case,2,"initial appointment therein, namely, November 28, 1949, and to give him benefits of the revisions of pay scales effected in 1957 and 1961 and weightage benefits thereunder. The order dated February 19, 1964, was impugned on the ground that he had been invidiously discriminated against in the matter of absorption and appointment, while his junior K. Narayanaswamy Chetty, whose case was identical in all respects, and six other officers who were similarly situated, were absorbed in the Department of Technical Education with effect from the initial date of joining duty on deputation. It was contended that in making the impugned order, contrary to the recommendations of the State Public Service Commission, the State Government had acted arbitrarily and in violation of Articles 14 and 16 of the Constitution. 9. The petition was opposed by the appellant, who in its counter affidavit. contended that the respondent had no legal right to be absorbed in the service of the Department of Technical Education from a particular anterior date, or to be given the revised pay scales applicable to those borne permanently in the service of that Department. It was further contended that the case of the respondent did not stand on the same footing as that of Narayanaswamy Chetty because the order of Chetty's absorption was passed in 1951 and that of the respondent's absorption in 1964, and there was a break in the service of the respondent in the Department of Technical Education, in 1955-56. It was stated that the absorption of the employees which came on : deputation from a particular date, was a concession which could not be claimed as of right, and consequently, a writ of mandamus, as prayed for by the respondent, should not be issued. 10. The High Court allowed the writ petition and issued a direction that the absorption of the respondent in the Department of Technical Education, be given effect from November 28, 1949 when he initially resumed duty on deputation to the Polytechnic at Devangere. The High Court further declared that he will be entitled to all consequential benefits from such absorption including the benefit of revision of pay scales in the years 1957 and 1961 and also weightage benefits. Hence this appeal by the State. 11. Mr. Nettar appearing for the appellant contends that this case is fully covered by this Court's decision in K. V. Rajalakshmiah Setty and Anr. v. State of Mysore and Anr. , [1967] 2 S.C.R. 70 1966 Indlaw SC 119.. 12. The point canvassed by the Counsel is, that the absorption of K. N. Chetty and five others, with effect from particular anterior dates, was not made in pursuance of any principle of policy or statutory rule, but was done as a matter of concession. It is urged that Articles 14 and 16 of the Constitution cannot be invoked to enforce a mere concession. Counsel has further made an attempt to show that the respondent and K. N. Chetty were not similarly situated because there was a break in the respondent's service with the Department of Technical Education. 13.",512,ARG_PETITIONER
